RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,2374516.936181651,18558684.734145023,784471.6693934799,15173094.154817924,2601118.9099336197,945046.2136699819,6104761.18401386,0.0,3986717.5555185857,1616336.7714723945,24225.242793705795,22148430.863992147,29595209.68734745,2133.2599999999998,2130.5099999999998,10.0,7.0,0.8805919962268403,1.33622150792912
760,中山市,1805448.183908141,31699300.94511939,1633074.1576452628,24902693.176841553,5163533.61063257,725698.8423210792,13643020.038460372,0.0,7484048.486227979,3034261.293737188,45476.733461534575,41578047.14571099,53552068.31212883,6070.720000000001,1260.1999999999998,21.0,9.0,0.7798586517016177,1.2879890227757613
595,泉州市,675355.0443792293,5579748.666009019,295340.07921948883,4402620.169164332,881788.4176251994,237917.7393094488,2149995.124032672,0.0,1340234.762409131,543372.0093586266,8143.920924366182,7445748.680050729,9307896.29176027,1249.66,1028.83,7.0,6.0,0.7813406892050554,1.2500954157503008
572,湖州市,3038475.2089811317,37694796.22860098,2109441.222094244,29853287.218149047,5732067.78835769,1462400.4139749487,15498993.904918905,0.0,9661552.336350273,3917087.7026718827,58708.31024590494,53675290.75750153,64317742.88384511,4381.290000000001,3476.1600000000003,18.0,16.0,0.7295199725975106,1.1982746991427564
311,石家庄市,633030.4780898615,3353511.625870615,306252.2300993467,2384278.2902343175,662981.1055369503,562020.6632736399,1798424.2858009639,0.0,1174461.9414840974,476162.6566918092,7136.604308733983,6524788.563800541,6888418.516429316,9856.61,5630.62,20.0,7.0,0.6001010225630279,1.055730534265308
371,郑州市,611265.6406041775,3077902.8349427786,251399.09005266518,2169114.974059935,657388.7708301779,523489.2636380177,1799568.90413736,0.0,1233969.9068557601,500288.99904896464,7498.203767239001,6855388.37142089,6634930.909573916,10087.3,3243.6499999999996,21.0,5.0,0.5253374285247605,0.9678417253840748
24,沈阳市/铁岭市/抚顺市,879235.9687761168,5342446.95115123,415544.07057592255,4184116.3117103623,742786.5688649457,252087.5932283983,1580374.8672424175,0.0,1204075.4274505428,488168.8662194427,7316.550311307489,6689307.930280799,8378984.839072589,21926.139999999996,1334.6166666999998,38.0,3.0,0.8363398131299339,1.2525936803033169
711,鄂州市,4769831.580591865,43001653.732504755,6586856.637442807,29877118.128570635,6537678.966491308,728500.9811797104,9904470.743706811,0.0,9055367.881324992,3671322.054288786,55024.83746503783,50307599.34069433,62689993.33871626,233153.08000000005,3868.4799999999996,183.0,7.0,0.8692554462305796,1.2461336688750657
771,南宁市/崇左市,280624.0923358576,792583.4007562087,57124.70121093363,535556.7712705998,199901.92827467533,310619.0935047206,809100.1164534388,0.0,462335.3557258523,187444.84047459898,2809.3754043522176,2568529.754032513,2374637.9664402204,2150.12,1387.875,6.0,3.0,0.42950738356405455,0.9245125397952316
