RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,2263057.3534476566,17918461.315666657,703423.9618428772,14735502.51907065,2479534.8347531287,945046.2136699819,6109114.532692004,0.0,3799581.440191086,1540466.0883196243,24242.51798687303,21108785.778839372,28772203.50221973,1683.7699999999998,2130.5099999999998,9.0,7.0,0.893632998457281,1.3630439857446748
760,中山市,1788173.7871522116,31337809.669117965,1602223.0150377357,24633486.939844906,5102099.714235324,725698.8423210792,14188108.846988024,0.0,7412441.655279296,3005229.7026251587,47293.69615662674,41180231.41821831,53664059.01370636,5689.01,1260.1999999999998,20.0,9.0,0.7786140924223659,1.3031509820502163
595,泉州市,573720.8185869333,5058264.518890604,245220.61621306877,4074162.5200293753,738881.3826481604,237917.7393094488,1917764.3247402243,0.0,1138542.7433873762,461599.91933280905,7264.258805834183,6325237.463263201,8352489.326327654,1492.73,1028.83,7.0,6.0,0.8373096328730943,1.3205020957456024
572,湖州市,2857017.687290228,34919580.65544689,1874632.5335932842,27770354.442384675,5274593.679468927,1462400.4139749487,15302064.854834,0.0,9084565.123336626,3683159.505834265,57962.36687437121,50469806.24075903,60768611.04759246,3263.9599999999996,3476.1600000000003,14.0,16.0,0.7208662719223999,1.2040587347949079
311,石家庄市,607153.03772382,3353511.625870615,306252.2300993467,2384278.2902343175,662981.1055369503,305038.6970799977,1811152.458428093,0.0,1126451.5061182575,456697.76332639204,7187.112930270209,6258063.922879208,6596154.287496963,9856.61,1840.5799999999997,20.0,5.0,0.5846137668193373,1.0540247541067311
29,西安市/咸阳市,146724.21422434496,8798.793265668264,1708.9344551853512,4285.861371002605,2803.9974394803094,441799.99992960924,278750.5725698376,0.0,182038.21046843188,73803.83719078981,1161.46071904099,1011323.3914912882,911387.576233547,4496.04,4859.165,4.0,5.0,0.44555361518023295,0.901183126882513
371,郑州市,512719.29317181784,2819045.900680863,195203.42136327268,2008988.8079637093,614853.6713538809,183356.23260139048,1584920.396331916,0.0,1035033.1123029193,419633.96097396896,6603.834984716317,5750183.9572384395,5622355.641917088,3529.1700000000005,176.28,15.0,2.0,0.5221401881417678,0.9777696998440478
24,沈阳市/铁岭市/抚顺市,879235.9687761168,5342446.95115123,415544.07057592255,4184116.3117103623,742786.5688649457,252087.5932283983,1659393.6106045386,0.0,1204075.4274505428,488168.8662194427,7682.377826872864,6689307.930280799,8458003.58243471,21926.139999999996,1334.6166666999998,38.0,3.0,0.8363398131299339,1.264406373661986
711,鄂州市,5350474.38033936,47982326.234616324,7470370.319705544,33151146.730939113,7360809.183971665,728500.9811797104,11665673.488280846,0.0,10157699.079086829,4118240.709666643,64809.29715711581,56431661.55048234,70534199.78316371,239407.69000000006,3868.4799999999996,191.0,7.0,0.8631825800879628,1.2499047138646733
771,南宁市/崇左市,280624.0923358576,792583.4007562087,57124.70121093363,535556.7712705998,199901.92827467533,310619.0935047206,849555.1222761106,0.0,462335.3557258523,187444.84047459898,2949.8441745698283,2568529.754032513,2415092.972262892,2150.12,1387.875,6.0,3.0,0.42950738356405455,0.9402627976067903
