RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,2734968.6889826166,20353049.24656484,983941.24376803,16440848.862172665,2928259.1406241446,1377416.3768442017,6377745.253767376,0.0,4591901.41793393,1861696.7491235742,25308.512911775302,25510563.432966284,32700112.295110345,7759.67,6770.009999999999,20.0,11.0,0.8518222531818966,1.2818263454288623
760,中山市,1918173.3306442574,32770447.95548592,1829733.2956066453,25541859.63871074,5398855.021168533,1084017.5332658654,13147244.469325224,0.0,7951323.299933285,3223708.740980927,43824.14823108407,44174018.33296269,54953033.2580103,10993.03,3289.865,28.0,11.0,0.7663886321949016,1.2440125515365283
595,泉州市,675355.0443792293,5579748.666009019,295340.07921948883,4402620.169164332,881788.4176251994,237917.7393094488,1950108.9560387044,0.0,1340234.762409131,543372.0093586266,7386.776348631456,7445748.680050729,9108010.123766303,1249.66,1028.83,7.0,6.0,0.7813406892050554,1.2232497382256862
572,湖州市,3375663.567723707,42062128.21554095,2467161.8785892394,33106718.93571239,6488247.401239323,1462400.4139749487,15618106.092543293,0.0,10733722.66888092,4351778.224289646,59159.49277478519,59631792.604894035,69876357.39094013,6170.35,3476.1600000000003,24.0,16.0,0.7298879796872617,1.171797028707893
371,郑州市,1020735.0330578794,5971226.452194552,594811.3688631471,4209346.256338479,1167068.826992926,737684.9358858143,2725667.7643053974,0.0,2060571.100351546,835418.3092607614,11356.949017939154,11447617.224175254,11495150.25273731,22812.55,5125.599999999999,38.0,8.0,0.5860530848212137,1.0041522202945146
24,沈阳市/铁岭市/抚顺市,879235.9687761168,5342446.95115123,415544.07057592255,4184116.3117103623,742786.5688649457,252087.5932283983,1433446.5916031003,0.0,1204075.4274505428,488168.8662194427,6636.326812977315,6689307.930280799,8232056.563433271,21926.139999999996,1334.6166666999998,38.0,3.0,0.8363398131299339,1.2306290350559048
711,鄂州市,4066931.345552628,36860060.05713446,5691450.3460926525,25596369.02100974,5572240.690032067,887113.1616119279,7659783.095514667,0.0,7720934.976387852,3130302.294730712,42554.35053063704,42894083.202154696,53127891.29064891,220920.00000000006,4985.44,169.0,8.0,0.8800088590505236,1.2385832106555
