RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Reverse_Storage_Cost,Inbound_Handling_Cost,Reverse_Inbound_Handling_Cost,Outbound_Handling_Cost,Reverse_Outbound_Handling_Cost,Total_Cost,Area,Reverse_Area,Weight,Reverse_Weight,Shipping_Distance,Reverse_Shipping_Distance,Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
28,成都市/资阳市/眉山市,1978507.3506588335,16858443.04180303,0.0,1853545.376755631,0.0,0.0,0.0,2410855.7083146335,0.0,23101351.47753213,7021.005214983451,0.0,13393642.823970187,0.0,132194.33,8797.7266671,100,8,1.2586899070977162,1.7247997263439308
769,东莞市,1335991.2857455625,26780972.474555936,0.0,7467177.96998707,0.0,0.0,0.0,7913769.829139872,0.0,43497911.55942844,20742.161027741862,0.0,39568849.14569936,0.0,19734.339999999997,5587.7300000000005,42,16,0.6768195955344507,1.099296858477273
24,沈阳市/铁岭市/抚顺市,606885.216996016,5071918.303067812,0.0,581877.8716253106,0.0,0.0,0.0,925017.6364928293,0.0,7185699.028181968,2693.8790353023637,0.0,5138986.869404607,0.0,20230.139999999996,1334.6166667,35,3,0.9869490683589611,1.3982715291534669
22,天津市,2753125.7007950353,21729269.135785077,0.0,4208163.8003120655,0.0,0.0,0.0,4631375.18940948,0.0,33321933.826301657,13487.704488179697,0.0,25729862.163386002,0.0,26355.590000000004,5005.61,50,12,0.8445155670793358,1.2950684933601895
27,武汉市,1477539.3832144134,19083184.979113463,0.0,2654158.8907674877,0.0,0.0,0.0,3037928.7659670333,0.0,26252812.0190624,8847.196302558294,0.0,16877382.033150185,0.0,31590.179999999997,4031.56,71,9,1.1306957999546783,1.5555026228296072
572,湖州市,3182766.7545512617,25456530.204477966,0.0,6774860.754821483,0.0,0.0,0.0,8811875.840011606,0.0,44226033.55386232,25662.351344020768,0.0,48954865.77784226,0.0,7500.76,3245.62,25,15,0.5199999999999998,0.9034042449337021
