,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,28,成都市/资阳市/眉山市,8234065.62690044,1074949.4173279696,295441.03520941536,295441.03520941536,78798983.77346289,4071.77809593928,1098958940.457106,9309015.04422841,0.00847075782499788,0.0074926053410835575,60
1,760,中山市,19013479.18064347,5478937.487133785,1060112.101662767,1060112.101662767,353436669.00302047,18263.12495711259,4929154776.956076,24492416.667777255,0.004968887725392582,0.00385735081185358,43
2,572,湖州市,23827070.869536955,6874344.094302949,1889357.120314568,1889357.120314568,503922621.8538496,26039.182175389964,7027885945.546599,30701414.963839903,0.004368513547561859,0.0033903610636475384,49
3,311,石家庄市,10800748.055511711,2423249.846159853,697725.1338863978,697725.1338863978,186094770.02570197,9616.070818094659,2595344527.2847223,13223997.901671564,0.00509527647009804,0.004161585462725279,45
4,711,鄂州市,8216556.512626347,836235.6045641773,337087.66766729596,337087.66766729596,89906825.69170466,4645.753358689874,1253872894.935629,9052792.117190525,0.007219864273128956,0.006552942125005555,39
5,24,沈阳市/铁岭市/抚顺市,15665878.90031597,1535789.5249451462,515898.9744896042,515898.9744896042,137598742.47237572,7110.1366895608635,1919001502.2325356,17201668.425261118,0.008963863970533099,0.008163557392785018,57
6,371,郑州市,4821134.178154595,831647.1907500183,251428.55403599475,251428.55403599475,67060131.08715295,3465.1966281250807,935244683.082716,5652781.368904614,0.006044173755975968,0.005154944225144768,31
