,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,371,郑州市,2204246.902200475,737481.6878956052,174694.8968151581,174694.8968151581,46594002.52130479,3072.8403662316878,649816700.5513237,2941728.59009608,0.004527012906255304,0.0033921056512249176,21
1,531,济南市,3623015.715103734,1724801.0052324221,314285.70058731176,314285.70058731176,83825166.0039598,5528.208350103916,1169055883.7685947,5347816.720336156,0.004574474834425206,0.0030990954028857023,16
2,7311,长沙市,1384582.933096223,633803.179509649,120108.39901557595,120108.39901557595,32034885.669745795,2112.6772650321645,446770025.7975209,2018386.112605872,0.0045177294716736835,0.003099095402885701,14
3,851,贵阳市,5128334.259752295,809007.6659409488,159698.32770527015,159698.32770527015,42594170.8624764,2809.054395628294,594033611.0836991,5937341.925693244,0.009994959569479099,0.008633070863442633,34
4,572,湖州市,19663903.169650994,7921142.725564065,1705784.371343218,1705784.371343218,454960750.131494,30004.328505924506,6345046090.333678,27585045.89521506,0.004347493383419126,0.0030990954028857014,40
5,24,沈阳市/铁岭市/抚顺市,5224576.603120519,778139.1578483576,204806.5013670557,204806.5013670557,54625262.75838069,3602.4961011498044,761823541.4776732,6002715.760968876,0.007879404395046249,0.0068579878655189025,44
6,760,中山市,14501754.241941188,6373024.290953366,966172.173596212,966172.173596212,322117513.97201014,21243.414303177884,4492366587.810896,20874778.53289455,0.004646721972675589,0.003228087903887605,24
7,311,石家庄市,8506896.308156516,2857783.168727045,644716.7486131296,644716.7486131296,171956561.74314252,11340.409399710494,2398167994.6681166,11364679.47688356,0.0047389004866009495,0.003547247868819044,22
8,595,泉州市,2116185.856197503,852455.8962755473,183572.74897134965,183572.74897134965,48961871.72235558,3228.999607104346,682839855.2129215,2968641.7524730503,0.004347493383419126,0.0030990954028857014,9
9,28,成都市/资阳市/眉山市,4017415.2038156483,1032194.4507041229,222278.68164980074,222278.68164980074,59285380.63811648,3909.8274647883445,826815219.8252344,5049609.654519771,0.006107301285028495,0.004858903304495069,28
10,29,西安市/咸阳市,4875224.470825676,664629.9373266401,157437.7509668796,157437.7509668796,41991237.8623234,2769.291405527669,585624890.8276162,5539854.408152316,0.009459731809423756,0.00832482455439337,47
11,711,鄂州市,4171477.2172089145,686990.176305511,216979.26865172,216979.26865172,57871940.0219589,3816.612090586171,807102869.1381083,4858467.3935144255,0.006019638362458929,0.005168457921186138,25
