RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,QUANTITY,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME
571,杭州市,30.287459,120.153576,514,56542234.33,422240.4301,119.421003,32.393159,扬州市
571,杭州市,30.287459,120.153576,574,357308265.9,2668270.854,121.549792,29.868388,宁波市
571,杭州市,30.287459,120.153576,719,17489111.81,130603.4362,110.787916,32.646907,十堰市
571,杭州市,30.287459,120.153576,599,17780581.21,132780.0421,118.178459,26.635627,南平市
311,石家庄市,38.045474,114.502461,941,863062.9073,6445.094671,102.91102,34.98327,甘南州
311,石家庄市,38.045474,114.502461,10,1348058653,10066897.28,116.405285,39.904989,北京市
311,石家庄市,38.045474,114.502461,632,17960462.35,134123.3405,117.557964,34.856424,枣庄市
311,石家庄市,38.045474,114.502461,432,10592645.46,79102.696,126.55302,43.843577,吉林市
311,石家庄市,38.045474,114.502461,951,31987483.54,238872.9233,106.278179,38.46637,银川市
311,石家庄市,38.045474,114.502461,318,25093688.34,187392.1306,115.665993,37.735097,衡水市
311,石家庄市,38.045474,114.502461,415,9481831.041,70807.46744,124.383044,40.124296,丹东市
311,石家庄市,38.045474,114.502461,539,69123801.69,516195.7977,118.326443,35.065282,临沂市
311,石家庄市,38.045474,114.502461,412,15228954.84,113725.2625,122.995632,41.110626,鞍山市
311,石家庄市,38.045474,114.502461,353,2328626.522,17389.48374,113.583285,37.861188,阳泉市
311,石家庄市,38.045474,114.502461,952,2189496.737,16350.50427,106.376173,39.01333,石嘴山市
311,石家庄市,38.045474,114.502461,356,3668412.387,27394.60232,112.851274,35.497553,晋城市
311,石家庄市,38.045474,114.502461,431,95510531.86,713243.9764,125.3245,43.886841,长春市
311,石家庄市,38.045474,114.502461,473,2400601.102,17926.96829,106.825563,39.673734,乌海市
311,石家庄市,38.045474,114.502461,439,2822659.952,21078.77706,126.427839,41.942505,白山市
311,石家庄市,38.045474,114.502461,416,9088556.808,67870.61355,121.135742,41.119269,锦州市
311,石家庄市,38.045474,114.502461,955,2052737.135,15329.22462,105.17362,37.517,中卫市
311,石家庄市,38.045474,114.502461,417,13646737.87,101909.7412,122.235151,40.667432,营口市
311,石家庄市,38.045474,114.502461,479,4289763.956,32034.66929,116.090996,43.944018,锡林郭勒盟
311,石家庄市,38.045474,114.502461,395,29739150.06,222083.0439,114.026405,33.575855,漯河市
311,石家庄市,38.045474,114.502461,937,5178298.438,38669.97803,98.510795,39.744023,嘉峪关市/酒泉市
311,石家庄市,38.045474,114.502461,438,3346918.793,24993.78469,124.823608,45.118243,松原市
311,石家庄市,38.045474,114.502461,936,3350965.777,25024.00635,100.455472,38.932897,张掖市
311,石家庄市,38.045474,114.502461,376,14697509.4,109756.5875,114.075031,32.123274,信阳市
311,石家庄市,38.045474,114.502461,396,14968579.41,111780.857,114.024736,32.980169,驻马店市
311,石家庄市,38.045474,114.502461,938,4891032.168,36524.75978,105.724998,34.578529,天水市
311,石家庄市,38.045474,114.502461,310,26321206.5,196558.8676,114.490686,36.612273,邯郸市
311,石家庄市,38.045474,114.502461,476,9233704.946,68954.53626,118.956806,42.275317,赤峰市
311,石家庄市,38.045474,114.502461,471,64169453.08,479198.2097,111.670801,40.818311,呼和浩特市
311,石家庄市,38.045474,114.502461,434,5093805.066,38039.0069,124.370785,43.170344,四平市
311,石家庄市,38.045474,114.502461,939,2720733.92,20317.62406,104.92667,33.39189,陇南市
311,石家庄市,38.045474,114.502461,469,1585898.978,11843.01743,131.157304,46.643442,双鸭山市
311,石家庄市,38.045474,114.502461,536,121338334.3,906118.2504,119.107078,36.70925,潍坊市
311,石家庄市,38.045474,114.502461,931,79626458.8,594626.4877,103.823557,36.058039,兰州市
311,石家庄市,38.045474,114.502461,458,1369021.49,10223.44146,128.90743,47.72798,伊春市
311,石家庄市,38.045474,114.502461,454,4846232.052,36190.20596,130.361634,46.809606,佳木斯市
311,石家庄市,38.045474,114.502461,971,19408570.97,144937.3809,101.778916,36.623178,西宁市
311,石家庄市,38.045474,114.502461,419,5653532.464,42218.88306,123.18152,41.269402,辽阳市
311,石家庄市,38.045474,114.502461,475,5149856.233,38457.58019,122.263119,43.617429,通辽市
311,石家庄市,38.045474,114.502461,378,14132299.58,105535.7703,114.341447,34.797049,开封市
311,石家庄市,38.045474,114.502461,312,68985777.99,515165.0782,115.482331,38.867657,保定市
311,石家庄市,38.045474,114.502461,455,5982811.35,44677.83892,126.99293,46.637393,绥化市
311,石家庄市,38.045474,114.502461,437,1683934.61,12575.11809,125.145349,42.902692,辽源市
311,石家庄市,38.045474,114.502461,538,25487217.85,190330.8908,117.129063,36.194968,泰安市
311,石家庄市,38.045474,114.502461,429,8882538.5,66332.13068,120.856394,40.755572,葫芦岛市
311,石家庄市,38.045474,114.502461,358,6061950.341,45268.82515,111.134335,37.524366,吕梁市
311,石家庄市,38.045474,114.502461,483,741709.4996,5538.863857,105.706422,38.844814,阿拉善盟
311,石家庄市,38.045474,114.502461,631,40865365.01,305170.2767,122.116394,37.509691,威海市
311,石家庄市,38.045474,114.502461,317,55149593.37,411840.6055,116.857461,38.310582,沧州市
311,石家庄市,38.045474,114.502461,315,53917660.91,402640.9037,118.175393,39.635113,唐山市
311,石家庄市,38.045474,114.502461,930,2154892.054,16092.08689,103.212006,35.599446,临夏州
311,石家庄市,38.045474,114.502461,379,33272955.42,248472.4414,112.434468,34.663041,洛阳市
311,石家庄市,38.045474,114.502461,370,19794115.5,147816.5117,115.650497,34.437054,商丘市
311,石家庄市,38.045474,114.502461,934,3881175.881,28983.45622,107.638372,35.734218,庆阳市
311,石家庄市,38.045474,114.502461,533,45614265.16,340633.6373,118.047648,36.814939,淄博市
311,石家庄市,38.045474,114.502461,635,31062443.06,231964.9988,115.980367,36.456013,聊城市
311,石家庄市,38.045474,114.502461,464,1304300.971,9740.128058,131.015584,45.771266,七台河市
311,石家庄市,38.045474,114.502461,319,31977808.02,238800.6695,114.508851,37.0682,邢台市
311,石家庄市,38.045474,114.502461,354,59639931.38,445373.1016,112.736465,37.696495,晋中市
311,石家庄市,38.045474,114.502461,453,6597656.784,49269.32002,129.618602,44.582962,牡丹江市
311,石家庄市,38.045474,114.502461,357,8233686.501,61486.69876,111.517973,36.08415,临汾市
311,石家庄市,38.045474,114.502461,468,1383282.073,10329.93522,130.277487,47.332085,鹤岗市
311,石家庄市,38.045474,114.502461,452,7288325.249,54427.02476,123.95792,47.342081,齐齐哈尔市
311,石家庄市,38.045474,114.502461,436,2521188.21,18827.47661,122.841114,45.619026,白城市
311,石家庄市,38.045474,114.502461,391,18308089.3,136719.3142,113.238266,35.23904,焦作市
311,石家庄市,38.045474,114.502461,470,6435403.678,48057.66254,119.758168,49.215333,呼伦贝尔市
