,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU2,SKU3,SKU4,SKU5
0,754,23.37102,116.708463,551,31.86119,117.283042,0.0,0.0,0.0,3902964.616958512,0.0
0,754,23.37102,116.708463,572,30.867198,120.102398,0.0,0.0,0.0,1136552.8704365082,0.0
0,27,30.584355,114.298572,551,31.86119,117.283042,0.0,117239.18063307428,0.0,0.0,0.0
0,27,30.584355,114.298572,311,38.045474,114.502461,0.0,125471.3032168333,0.0,0.0,0.0
0,27,30.584355,114.298572,711,30.396536,114.890593,0.0,83986.31985696673,0.0,0.0,0.0
0,27,30.584355,114.298572,371,34.757975,113.665412,0.0,84533.2057242617,0.0,0.0,0.0
0,559,29.709239,118.317325,551,31.86119,117.283042,0.0,0.0,0.0,27914.490007111803,0.0
0,559,29.709239,118.317325,595,24.908853,118.589421,0.0,0.0,0.0,1718064.9351701094,0.0
0,559,29.709239,118.317325,711,30.396536,114.890593,0.0,0.0,0.0,3293538.062217799,0.0
0,756,22.224979,113.553986,760,22.521113,113.382391,0.0,0.0,0.0,0.0,9253305.26212745
0,716,30.326857,112.23813,760,22.521113,113.382391,7361.90128779113,0.0,0.0,0.0,0.0
0,755,22.547,114.085947,551,31.86119,117.283042,0.0,0.0,0.0,0.0,3693285.6627178746
0,755,22.547,114.085947,572,30.867198,120.102398,0.0,0.0,0.0,0.0,7925209.003702857
0,755,22.547,114.085947,28,30.659462,104.065735,0.0,0.0,221.569083225193,0.0,0.0
0,755,22.547,114.085947,851,26.578343,106.713478,0.0,0.0,238.7777022698149,0.0,0.0
0,755,22.547,114.085947,760,22.521113,113.382391,0.0,0.0,658.1882626977722,0.0,4242366.635456315
0,755,22.547,114.085947,711,30.396536,114.890593,0.0,0.0,0.0,0.0,2645749.222377853
0,312,38.867657,115.482331,311,38.045474,114.502461,0.0,0.0,0.0,5039517.48739502,0.0
0,311,38.045474,114.502461,311,38.045474,114.502461,0.0,0.0,0.0,0.0,7337566.729668414
0,311,38.045474,114.502461,371,34.757975,113.665412,0.0,0.0,0.0,0.0,1915738.5324590355
0,22,39.125596,117.190182,531,36.675807,117.000923,3941.8065122723538,0.0,0.0,0.0,0.0
0,22,39.125596,117.190182,24,41.796767,123.429096,3420.0947755187763,0.0,0.0,0.0,0.0
0,519,31.772752,119.946973,551,31.86119,117.283042,0.0,0.0,446.4425780532465,0.0,0.0
0,519,31.772752,119.946973,711,30.396536,114.890593,0.0,0.0,150.54735041371498,0.0,0.0
0,519,31.772752,119.946973,371,34.757975,113.665412,0.0,0.0,321.89940334671894,0.0,0.0
0,519,31.772752,119.946973,29,34.263161,108.948024,0.0,0.0,199.6457163790997,0.0,0.0
0,537,35.415393,116.587245,551,31.86119,117.283042,4568.371768421751,0.0,0.0,0.0,0.0
0,537,35.415393,116.587245,531,36.675807,117.000923,0.0,0.0,0.0,4770556.762068305,0.0
0,537,35.415393,116.587245,371,34.757975,113.665412,2793.529519369379,0.0,0.0,3314984.286111082,0.0
0,537,35.415393,116.587245,29,34.263161,108.948024,0.0,0.0,0.0,1993493.9266106123,0.0
0,591,26.075302,119.306239,572,30.867198,120.102398,0.0,411230.009431136,0.0,0.0,0.0
0,591,26.075302,119.306239,311,38.045474,114.502461,0.0,0.0,352.1732568176199,0.0,0.0
0,591,26.075302,119.306239,531,36.675807,117.000923,0.0,0.0,463.24182644707315,0.0,0.0
0,591,26.075302,119.306239,24,41.796767,123.429096,0.0,0.0,303.11996492808703,0.0,0.0
0,28,30.659462,104.065735,28,30.659462,104.065735,3695.723460337695,0.0,0.0,0.0,0.0
0,28,30.659462,104.065735,851,26.578343,106.713478,2694.1226792405914,0.0,0.0,0.0,0.0
0,28,30.659462,104.065735,760,22.521113,113.382391,972.0551482128435,0.0,0.0,0.0,0.0
