,RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,QUANTITY,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME
52,7311,长沙市,28.25591,112.98626,736,14078812.4335623,105136.344315525,111.691347,29.040225,常德市
53,7311,长沙市,28.25591,112.98626,745,11510007.2917554,85953.2787591807,109.97824,27.550082,怀化市
54,311,石家庄市,38.045474,114.502461,312,68985777.9932186,515165.078176572,115.482331,38.867657,保定市
55,311,石家庄市,38.045474,114.502461,10,1348058652.62872,10066897.2847758,116.405285,39.904989,北京市
56,311,石家庄市,38.045474,114.502461,314,11133464.1009498,83141.3672613172,117.939152,40.976204,承德市
57,311,石家庄市,38.045474,114.502461,317,55149593.3689227,411840.605495528,116.857461,38.310582,沧州市
58,311,石家庄市,38.045474,114.502461,319,31977808.0196677,238800.669465334,114.508851,37.0682,邢台市
59,311,石家庄市,38.045474,114.502461,335,18752024.7155909,140034.49058045,119.586579,39.942531,秦皇岛市
60,311,石家庄市,38.045474,114.502461,315,53917660.9080392,402640.903745673,118.175393,39.635113,唐山市
61,311,石家庄市,38.045474,114.502461,316,125323811.620865,935880.598714063,116.704441,39.523927,廊坊市
62,311,石家庄市,38.045474,114.502461,313,18969765.5955446,141660.514098727,114.884091,40.811901,张家口市
63,311,石家庄市,38.045474,114.502461,22,272864553.957499,2037670.56573528,117.190182,39.125596,天津市
64,311,石家庄市,38.045474,114.502461,310,26321206.5022307,196558.867637273,114.490686,36.612273,邯郸市
65,311,石家庄市,38.045474,114.502461,318,25093688.3411846,187392.130553281,115.665993,37.735097,衡水市
66,311,石家庄市,38.045474,114.502461,311,181824060.891772,1357807.49697277,114.502461,38.045474,石家庄市
67,28,成都市/资阳市/眉山市,30.659462,104.065735,832,6171405.42664577,46086.2028603898,104.641917,30.122211,内江市
68,28,成都市/资阳市/眉山市,30.659462,104.065735,838,12438408.2643017,92886.2984846098,104.398651,31.127991,德阳市
69,28,成都市/资阳市/眉山市,30.659462,104.065735,833,8943809.35206697,66789.6830054865,103.761263,29.582024,乐山市
70,28,成都市/资阳市/眉山市,30.659462,104.065735,836,1147800.98112106,8571.43311812045,101.963815,30.050663,甘孜州
71,28,成都市/资阳市/眉山市,30.659462,104.065735,28,357419761.832453,2669103.47179628,104.065735,30.659462,成都市/资阳市/眉山市
72,28,成都市/资阳市/眉山市,30.659462,104.065735,891,3501598.85489223,26148.8889492683,91.132212,29.660361,拉萨市
