,CDC,shipping_cost,Quantity,Quantity_SKU1,Quantity_SKU2,Quantity_SKU3,Quantity_SKU4,Quantity_SKU5
0,575,13575.71773891057,22085.703863373405,22085.703863373405,0.0,0.0,0.0,0.0
1,746,1424940.758074149,5039517.48739502,0.0,0.0,0.0,5039517.48739502,0.0
2,519,658.80026580462,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
3,756,1138088.2578488418,9253305.26212745,0.0,0.0,0.0,0.0,9253305.26212745
4,752,1652447.56397545,5039517.487395108,0.0,0.0,0.0,5039517.487395108,0.0
5,312,707160.4643597177,5039517.487395107,0.0,0.0,0.0,5039517.487395107,0.0
6,716,3432.9817841512568,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
7,754,2243985.7630489664,5039517.487395107,0.0,0.0,0.0,5039517.487395107,0.0
8,755,7696540.128455336,18507729.05930309,0.0,0.0,1118.53504819278,0.0,18506610.5242549
9,769,279744.1257183115,822460.0188622789,0.0,822460.0188622789,0.0,0.0,0.0
10,592,172836.12256174767,411230.009431136,0.0,411230.009431136,0.0,0.0,0.0
11,512,452.95991774870856,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
12,559,2214286.855335412,5039517.487395108,0.0,0.0,0.0,5039517.487395108,0.0
13,591,110738.75285719556,412348.5444793288,0.0,411230.009431136,1118.53504819278,0.0,0.0
14,631,9173.352962086154,7361.901287791184,7361.901287791184,0.0,0.0,0.0,0.0
15,763,1921971.994131533,5039517.487395107,0.0,0.0,0.0,5039517.487395107,0.0
16,20,5424365.978370327,14292822.749522477,0.0,0.0,0.0,5039517.487395027,9253305.262127448
17,537,3448654.720483196,10086396.876077877,7361.90128779113,0.0,0.0,10079034.974790085,0.0
18,851,4031790.847126278,10079034.97479,0.0,0.0,0.0,10079034.97479,0.0
19,21,6865351.987391547,19333458.77196573,0.0,0.0,1118.5350481928103,10079034.974790087,9253305.26212745
20,22,3477.384554213343,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
21,431,13882453.998991951,14292822.749522313,0.0,0.0,0.0,5039517.487394707,9253305.262127608
22,571,489841.0997747944,10079034.97479,0.0,0.0,0.0,10079034.97479,0.0
23,760,159.4325114868349,1118.53504819278,0.0,0.0,1118.53504819278,0.0,0.0
24,311,1070497.1395612108,9253305.26212745,0.0,0.0,0.0,0.0,9253305.26212745
25,595,434.0971361769284,1118.5350481927799,0.0,0.0,1118.5350481927799,0.0,0.0
26,28,2309.2385292283816,7361.90128779113,7361.90128779113,0.0,0.0,0.0,0.0
27,316,5227.211238339083,14723.8025755823,14723.8025755823,0.0,0.0,0.0,0.0
28,27,108102.9791946123,411230.009431136,0.0,411230.009431136,0.0,0.0,0.0
29,510,4871.141079520382,14723.8025755823,14723.8025755823,0.0,0.0,0.0,0.0
