,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,371,郑州市,2495943.7338989945,837358.2490277011,179912.6425269715,179912.6425269715,47985661.128877036,3488.9927042820887,669225271.5203652,3333301.9829266956,0.00498083698386644,0.0037296017351954413,22
1,531,济南市,3623015.715103734,1901593.108268742,314285.70058731176,314285.70058731176,83825166.0039598,6094.849705989556,1169055883.7685947,5524608.823372476,0.004725701226158003,0.0030990954028857023,16
2,551,合肥市,4345214.72884545,1929780.673865231,376934.28973117145,376934.28973117145,100534575.22965567,7309.775279792541,1402091308.5797334,6274995.402710681,0.004475454176423801,0.0030990954028857023,22
3,7311,长沙市,1384582.933096223,698768.0054093872,120108.39901557595,120108.39901557595,32034885.669745795,2329.226684697958,446770025.7975209,2083350.9385056102,0.00466313946372445,0.003099095402885701,14
4,851,贵阳市,5128334.259752295,891930.9516998946,159698.32770527015,159698.32770527015,42594170.8624764,3096.9824711801893,594033611.0836991,6020265.21145219,0.010134553161847835,0.008633070863442633,34
5,572,湖州市,7655600.281067995,3399976.8460620325,664100.2653456574,664100.2653456574,177126464.493437,12878.700174477395,2470269315.9879932,11055577.127130028,0.0044754541764238,0.003099095402885701,7
6,24,沈阳市/铁岭市/抚顺市,5224576.603120519,857898.421527813,204806.5013670557,204806.5013670557,54625262.75838069,3971.751951517653,761823541.4776732,6082475.024648332,0.0079840995893228,0.0068579878655189025,44
7,571,杭州市,7663088.159737545,3712693.4563713893,664749.8162663894,664749.8162663894,177299710.40840116,12891.29672351177,2472685465.7659497,11375781.616108935,0.004600577701290902,0.003099095402885702,11
8,760,中山市,14501754.241941188,7026259.280776076,966172.173596212,966172.173596212,322117513.97201014,23420.86426925358,4492366587.810896,21528013.522717264,0.004792131964726356,0.003228087903887605,24
9,311,石家庄市,8215199.476457996,3125207.020992624,639499.0029013163,639499.0029013163,170564903.13557032,12401.615162669143,2378759423.699075,11340406.49745062,0.004767361669477189,0.003453564658372641,21
10,595,泉州市,2116185.856197503,939832.6256437894,183572.74897134965,183572.74897134965,48961871.72235558,3559.9720668325353,682839855.2129215,3056018.481841292,0.004475454176423799,0.0030990954028857014,9
11,28,成都市/资阳市/眉山市,4017415.2038156483,1137994.3819012935,222278.68164980074,222278.68164980074,59285380.63811648,4310.584779929142,826815219.8252344,5155409.585716942,0.0062352620780331686,0.004858903304495069,28
12,29,西安市/咸阳市,4875224.470825676,732754.5059026193,157437.7509668796,157437.7509668796,41991237.8623234,3053.1437745942467,585624890.8276162,5607978.976728295,0.009576059803064368,0.00832482455439337,47
13,711,鄂州市,4171477.2172089145,757406.6693768243,216979.26865172,216979.26865172,57871940.0219589,4207.814829871246,807102869.1381083,4928883.8865857385,0.0061068843576893884,0.005168457921186138,25
