,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,551,合肥市,3491628.742991186,3590233.2325530057,302888.2765004402,302888.2765004402,40392642.76239188,6799.684152562511,1126660618.3662436,7081861.975544192,0.006285710053319793,0.0030990954028857006,20.0
1,572,湖州市,16172274.426659804,16628983.59658385,1402896.094842778,1402896.094842778,187087732.30335507,31494.28711474214,5218385471.967433,32801258.023243655,0.006285710053319795,0.0030990954028857014,20.0
2,27,武汉市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006285710053319795,0.0030990954028857014,
3,7311,长沙市,1384582.9330962233,1617822.6245240876,120108.39901557595,120108.39901557595,16017442.834872901,2696.371040873479,446770025.79752076,3002405.557620311,0.006720248414742626,0.0030990954028857023,14.0
4,311,石家庄市,6936928.587883008,6808609.716742992,601757.6606356343,601757.6606356343,80249333.1746781,13509.146263378958,2238372068.6442046,13745538.304626,0.006140863932845514,0.0030990954028856993,13.0
5,22,天津市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006140863932845514,0.0030990954028856993,
6,28,成都市/资阳市/眉山市,4014408.6940845596,2634104.031123665,222224.90251491757,222224.90251491757,29635518.429117475,4988.833392279671,826615176.317236,6648512.725208225,0.008043056691541648,0.004856442041107556,27.0
7,595,泉州市,2116185.856197503,2175947.4865217893,183572.74897134965,183572.74897134965,24480935.861177787,4121.112663867025,682839855.2129215,4292133.342719292,0.006285710053319793,0.0030990954028857014,9.0
8,851,贵阳市,5205796.154349105,2094784.659539008,161998.3627516229,161998.3627516229,21603814.021204524,3636.7789228107795,602589105.3323648,7300580.813888114,0.012115354806923362,0.008639047915540706,35.0
9,769,东莞市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012115354806923362,0.008639047915540706,
10,531,济南市,3623015.7151037348,4402663.443919215,314285.7005873118,314285.7005873118,41912583.00197992,7055.550390896178,1169055883.7685947,8025679.15902295,0.006865094535216906,0.003099095402885703,16.0
11,571,杭州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006865094535216906,0.003099095402885703,
12,760,中山市,14424292.34734438,16236566.046050375,964332.1455591299,964332.1455591299,160752028.39603874,27060.943410083946,4483811093.56223,30660858.393394753,0.006838124477950694,0.003216971466093766,23.0
13,711,鄂州市,4171477.2172089135,1753585.7912746973,216979.26865172002,216979.26865172002,28935970.010979444,4871.071642429717,807102869.1381084,5925063.008483611,0.007341149728300292,0.005168457921186136,25.0
14,371,郑州市,3822629.437921057,2353339.2692432213,218392.15227042974,218392.15227042974,29124389.661732364,4902.79014425671,812358405.4365987,6175968.707164278,0.007602517147397557,0.004705594737912018,35.0
15,29,西安市/咸阳市,4791945.664288901,1680032.0419975074,155908.5926667552,155908.5926667552,20791693.095346186,3500.066754161475,579936844.8725079,6471977.706286408,0.011159797421923062,0.008262875012437521,41.0
16,24,沈阳市/铁岭市/抚顺市,5262510.796914275,1994442.047442053,205651.27132428667,205651.27132428667,27425288.400759734,4616.763998708455,764965852.0794165,7256952.844356328,0.009486636331059301,0.006879406162522319,46.0
