,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,551,合肥市,3491628.742991186,4156143.745834164,302888.2765004402,302888.2765004402,40392642.76239188,7871.484367110163,1126660618.3662436,7647772.48882535,0.006788000187594459,0.0030990954028857006,20.0
1,572,湖州市,16172274.426659804,19250127.135995336,1402896.094842778,1402896.094842778,187087732.30335507,36458.57412120327,5218385471.967433,35422401.562655136,0.00678800018759446,0.0030990954028857014,20.0
2,7311,长沙市,1384582.9330962233,1872831.9157146928,120108.39901557595,120108.39901557595,16017442.834872901,3121.3865261911533,446770025.79752076,3257414.848810916,0.007291032658236564,0.0030990954028857023,14.0
3,311,石家庄市,6936928.587883008,7881816.823344588,601757.6606356343,601757.6606356343,80249333.1746781,15638.525443144028,2238372068.6442046,14818745.411227595,0.006620322697380421,0.0030990954028856993,13.0
4,22,天津市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006620322697380421,0.0030990954028856993,
5,591,福州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006620322697380421,0.0030990954028856993,
6,28,成都市/资阳市/眉山市,4014408.6940845596,3049304.679029527,222224.90251491757,222224.90251491757,29635518.429117475,5775.1982557377405,826615176.317236,7063713.373114087,0.008545346825816317,0.004856442041107556,27.0
7,595,泉州市,2116185.856197503,2518931.209084781,183572.74897134965,183572.74897134965,24480935.861177787,4770.703047509054,682839855.2129215,4635117.065282283,0.006788000187594457,0.0030990954028857014,9.0
8,851,贵阳市,5205796.154349105,2424975.0914988383,161998.3627516229,161998.3627516229,21603814.021204524,4210.026200518817,602589105.3323648,7630771.245847944,0.012663307680677542,0.008639047915540706,35.0
9,21,上海市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012663307680677542,0.008639047915540706,
10,769,东莞市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012663307680677542,0.008639047915540706,
11,25,南京市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012663307680677542,0.008639047915540706,
12,531,济南市,3623015.7151037348,5096633.269266972,314285.7005873118,314285.7005873118,41912583.00197992,8167.681521261172,1169055883.7685947,8719648.984370707,0.007458710148450604,0.003099095402885703,16.0
13,571,杭州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007458710148450604,0.003099095402885703,
14,760,中山市,14424292.34734438,18795854.769059017,964332.1455591299,964332.1455591299,160752028.39603874,31326.424615098367,4483811093.56223,33220147.116403397,0.007408908721444631,0.003216971466093766,23.0
15,512,苏州市,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007408908721444631,0.003216971466093766,
16,711,鄂州市,4171477.2172089135,2029994.7516243667,216979.26865172002,216979.26865172002,28935970.010979444,5638.874310067684,807102869.1381084,6201471.968833281,0.007683620274396656,0.005168457921186136,25.0
17,371,郑州市,3822629.437921057,2724284.3715576776,218392.15227042974,218392.15227042974,29124389.661732364,5675.592440745161,812358405.4365987,6546913.809478735,0.008059144542192708,0.004705594737912018,35.0
18,29,西安市/咸阳市,4791945.664288901,1944847.0926173606,155908.5926667552,155908.5926667552,20791693.095346186,4051.764776286168,579936844.8725079,6736792.756906262,0.011616424816718212,0.008262875012437521,41.0
19,24,沈阳市/铁岭市/抚顺市,5262510.796914275,2308815.975170102,205651.27132428667,205651.27132428667,27425288.400759734,5344.481424004866,764965852.0794165,7571326.772084377,0.009897600986374936,0.006879406162522319,46.0
