,RDC,City_name,shipping_cost,storage_cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Quantity,Total_Cost,Price_avg,shipment_avg,CUSTOMER_NUM
0,371,郑州市,2429569.243137031,788748.1425049719,177941.81989565125,177941.81989565125,47460010.31521908,3286.4505937707186,661894356.4049028,3218317.385642003,0.004862282559897294,0.0036706299421153886,21
1,531,济南市,3623015.715103734,1811041.0554940428,314285.70058731176,314285.70058731176,83825166.0039598,5804.618767609113,1169055883.7685947,5434056.770597776,0.0046482438060021815,0.0030990954028857023,16
2,7311,长沙市,1384582.933096223,665493.3384851315,120108.39901557595,120108.39901557595,32034885.669745795,2218.3111282837717,446770025.7975209,2050076.2715813546,0.004588661175113083,0.003099095402885701,14
3,851,贵阳市,5128334.259752295,849458.0492379961,159698.32770527015,159698.32770527015,42594170.8624764,2949.507115409708,594033611.0836991,5977792.308990291,0.010063054004780922,0.008633070863442633,34
4,572,湖州市,11938109.315661777,5049437.046868978,1035595.0249730698,1035595.0249730698,276210227.5700768,19126.655480564314,3852127076.999853,16987546.362530753,0.0044099132824457965,0.003099095402885701,28
5,24,沈阳市/铁岭市/抚顺市,5224576.603120519,817046.1157407755,204806.5013670557,204806.5013670557,54625262.75838069,3782.6209062072912,761823541.4776732,6041622.718861294,0.007930475221522616,0.0068579878655189025,44
6,571,杭州市,7725793.853989216,3564832.161789047,670189.3463701488,670189.3463701488,178750522.56141698,12377.889450656414,2492919013.333825,11290626.015778262,0.0045290785442239885,0.0030990954028857014,12
7,760,中山市,14501754.241941188,6691675.505501036,966172.173596212,966172.173596212,322117513.97201014,22305.58501833679,4492366587.810896,21193429.747442223,0.004717653676114989,0.003228087903887605,24
8,311,石家庄市,8281573.96721996,2985560.3384380806,641469.8255326365,641469.8255326365,171090553.9492283,11847.461660468574,2386090338.8145375,11267134.30565804,0.004722006590603691,0.00347077134193269,22
9,595,泉州市,2116185.856197503,895078.6910893248,183572.74897134965,183572.74897134965,48961871.72235558,3390.4495874595646,682839855.2129215,3011264.5472868276,0.004409913282445797,0.0030990954028857014,9
10,28,成都市/资阳市/眉山市,4017415.2038156483,1083804.1732393291,222278.68164980074,222278.68164980074,59285380.63811648,4105.318838027762,826815219.8252344,5101219.377054977,0.006169721184055166,0.004858903304495069,28
11,29,西安市/咸阳市,4875224.470825676,697861.4341929719,157437.7509668796,157437.7509668796,41991237.8623234,2907.755975804051,585624890.8276162,5573085.905018648,0.009516477172175276,0.00832482455439337,47
12,711,鄂州市,4171477.2172089145,721339.6851207865,216979.26865172,216979.26865172,57871940.0219589,4007.442695115479,807102869.1381083,4892816.902329701,0.006062197384522569,0.005168457921186138,25
