,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU2,SKU3,SKU4,SKU5
0,571,30.287459,120.153576,572,30.867198,120.102398,0.0,0.0,0.0,10079034.97479,0.0
0,592,24.490474,118.11022,24,41.796767,123.429096,0.0,79524.40232267539,0.0,0.0,0.0
0,592,24.490474,118.11022,572,30.867198,120.102398,0.0,320084.7950513111,0.0,0.0,0.0
0,592,24.490474,118.11022,531,36.675807,117.000923,0.0,11620.812057149538,0.0,0.0,0.0
0,631,37.509691,122.116394,760,22.521113,113.382391,7361.90128779113,0.0,0.0,0.0,0.0
0,28,30.659462,104.065735,28,30.659462,104.065735,3791.4416570149583,0.0,0.0,0.0,0.0
0,28,30.659462,104.065735,760,22.521113,113.382391,3570.4596307761717,0.0,0.0,0.0,0.0
0,21,31.231706,121.472644,572,30.867198,120.102398,0.0,0.0,1118.53504819278,10079034.97479,9253305.26212745
0,431,43.886841,125.3245,29,34.263161,108.948024,0.0,0.0,0.0,0.0,509885.98545464454
0,431,43.886841,125.3245,371,34.757975,113.665412,0.0,0.0,0.0,0.0,2140208.821443819
0,431,43.886841,125.3245,24,41.796767,123.429096,0.0,0.0,0.0,3118563.19423089,2505189.2494348623
0,431,43.886841,125.3245,311,38.045474,114.502461,0.0,0.0,0.0,1920954.293164442,0.0
0,431,43.886841,125.3245,531,36.675807,117.000923,0.0,0.0,0.0,0.0,3832260.810446634
0,431,43.886841,125.3245,711,30.396536,114.890593,0.0,0.0,0.0,0.0,265760.39534764504
0,754,23.37102,116.708463,572,30.867198,120.102398,0.0,0.0,0.0,5039517.48739502,0.0
0,851,26.578343,106.713478,28,30.659462,104.065735,0.0,0.0,0.0,3460525.714039239,0.0
0,851,26.578343,106.713478,760,22.521113,113.382391,0.0,0.0,0.0,6618509.26075076,0.0
0,591,26.075302,119.306239,29,34.263161,108.948024,0.0,0.0,161.1716984217107,0.0,0.0
0,591,26.075302,119.306239,572,30.867198,120.102398,0.0,411230.009431136,0.0,0.0,0.0
0,591,26.075302,119.306239,311,38.045474,114.502461,0.0,0.0,949.6237685596543,0.0,0.0
0,591,26.075302,119.306239,711,30.396536,114.890593,0.0,0.0,7.739581211458358,0.0,0.0
0,760,22.521113,113.382391,760,22.521113,113.382391,0.0,0.0,1118.53504819278,0.0,0.0
0,519,31.772752,119.946973,371,34.757975,113.665412,0.0,0.0,258.7074034004029,0.0,0.0
0,519,31.772752,119.946973,572,30.867198,120.102398,0.0,0.0,547.7503443463788,0.0,0.0
0,519,31.772752,119.946973,711,30.396536,114.890593,0.0,0.0,312.0773004459984,0.0,0.0
0,595,24.908853,118.589421,29,34.263161,108.948024,0.0,0.0,69.37435161584747,0.0,0.0
0,595,24.908853,118.589421,28,30.659462,104.065735,0.0,0.0,49.472413620959514,0.0,0.0
0,595,24.908853,118.589421,24,41.796767,123.429096,0.0,0.0,302.8260603611127,0.0,0.0
0,595,24.908853,118.589421,7311,28.25591,112.98626,0.0,0.0,233.62039614775986,0.0,0.0
0,595,24.908853,118.589421,531,36.675807,117.000923,0.0,0.0,463.24182644710055,0.0,0.0
0,510,31.574729,120.301663,572,30.867198,120.102398,14723.8025755823,0.0,0.0,0.0,0.0
0,752,23.079404,114.412599,760,22.521113,113.382391,0.0,0.0,0.0,3389201.065496414,0.0
0,752,23.079404,114.412599,572,30.867198,120.102398,0.0,0.0,0.0,1650316.4218986062,0.0
0,769,23.046237,113.746262,29,34.263161,108.948024,0.0,60543.12767939297,0.0,0.0,0.0
0,769,23.046237,113.746262,28,30.659462,104.065735,0.0,88244.5607131829,0.0,0.0,0.0
0,769,23.046237,113.746262,7311,28.25591,112.98626,0.0,61350.474103460045,0.0,0.0,0.0
0,769,23.046237,113.746262,760,22.521113,113.382391,0.0,512218.7094453487,0.0,0.0,0.0
0,769,23.046237,113.746262,531,36.675807,117.000923,0.0,100103.14692089813,0.0,0.0,0.0
0,746,26.434516,111.608019,760,22.521113,113.382391,0.0,0.0,0.0,5039517.48739502,0.0
0,512,31.299379,120.619585,572,30.867198,120.102398,0.0,0.0,1118.53504819278,0.0,0.0
0,20,23.125178,113.280637,28,30.659462,104.065735,0.0,0.0,0.0,0.0,2779892.9430840113
0,20,23.125178,113.280637,7311,28.25591,112.98626,0.0,0.0,0.0,0.0,1932671.5282700574
0,20,23.125178,113.280637,760,22.521113,113.382391,0.0,0.0,0.0,5039517.48739502,4540740.790773381
0,537,35.415393,116.587245,29,34.263161,108.948024,0.0,0.0,0.0,2374209.2254712866,0.0
0,537,35.415393,116.587245,371,34.757975,113.665412,2918.9889849969454,0.0,0.0,2664220.461599306,0.0
0,537,35.415393,116.587245,760,22.521113,113.382391,834.4266448499911,0.0,0.0,0.0,0.0
0,537,35.415393,116.587245,311,38.045474,114.502461,0.0,0.0,0.0,270048.5256511032,0.0
0,537,35.415393,116.587245,531,36.675807,117.000923,0.0,0.0,0.0,4770556.762068304,0.0
0,537,35.415393,116.587245,711,30.396536,114.890593,3608.4856579441935,0.0,0.0,0.0,0.0
0,575,29.997117,120.582112,7311,28.25591,112.98626,2635.9329267840753,0.0,0.0,0.0,0.0
0,575,29.997117,120.582112,760,22.521113,113.382391,2752.516036248607,0.0,0.0,0.0,0.0
0,575,29.997117,120.582112,572,30.867198,120.102398,16697.25490034072,0.0,0.0,0.0,0.0
0,311,38.045474,114.502461,29,34.263161,108.948024,0.0,0.0,0.0,0.0,1397352.3987354897
0,311,38.045474,114.502461,311,38.045474,114.502461,0.0,0.0,0.0,0.0,7855952.863391961
0,27,30.584355,114.298572,371,34.757975,113.665412,0.0,67938.51099649366,0.0,0.0,0.0
0,27,30.584355,114.298572,311,38.045474,114.502461,0.0,249378.34787421967,0.0,0.0,0.0
0,27,30.584355,114.298572,531,36.675807,117.000923,0.0,9926.830703455984,0.0,0.0,0.0
0,27,30.584355,114.298572,711,30.396536,114.890593,0.0,83986.31985696674,0.0,0.0,0.0
0,755,22.547,114.085947,28,30.659462,104.065735,0.0,0.0,286.5596958772164,0.0,0.0
0,755,22.547,114.085947,760,22.521113,113.382391,0.0,0.0,831.9753523155637,0.0,2341941.9807503615
0,755,22.547,114.085947,572,30.867198,120.102398,0.0,0.0,0.0,0.0,13784679.71647433
0,755,22.547,114.085947,711,30.396536,114.890593,0.0,0.0,0.0,0.0,2379988.827030208
0,559,29.709239,118.317325,572,30.867198,120.102398,0.0,0.0,0.0,1745979.4251772217,0.0
0,559,29.709239,118.317325,711,30.396536,114.890593,0.0,0.0,0.0,3293538.0622177985,0.0
0,312,38.867657,115.482331,311,38.045474,114.502461,0.0,0.0,0.0,5039517.48739502,0.0
0,756,22.224979,113.553986,760,22.521113,113.382391,0.0,0.0,0.0,0.0,9253305.26212745
0,763,23.685022,113.051227,7311,28.25591,112.98626,0.0,0.0,0.0,2405869.4551561773,0.0
0,763,23.685022,113.051227,572,30.867198,120.102398,0.0,0.0,0.0,84753.2859085137,0.0
0,763,23.685022,113.051227,311,38.045474,114.502461,0.0,0.0,0.0,2548894.746330329,0.0
0,716,30.326857,112.23813,760,22.521113,113.382391,7361.90128779113,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,29,34.263161,108.948024,2601.2451586189823,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,760,22.521113,113.382391,126.35384248756736,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,311,38.045474,114.502461,10714.580579770913,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,531,36.675807,117.000923,1281.6229947050088,0.0,0.0,0.0,0.0
0,22,39.125596,117.190182,24,41.796767,123.429096,3416.7786578415703,0.0,0.0,0.0,0.0
0,22,39.125596,117.190182,531,36.675807,117.000923,3945.1226299495597,0.0,0.0,0.0,0.0
