,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU2,SKU3,SKU4,SKU5
0,431,43.886841,125.3245,711,30.396536,114.890593,0.0,0.0,0.0,0.0,1474785.0739619285
0,571,30.287459,120.153576,572,30.867198,120.102398,0.0,0.0,0.0,10079034.974784786,0.0
0,760,22.521113,113.382391,760,22.521113,113.382391,0.0,0.0,1118.53504819278,0.0,0.0
0,311,38.045474,114.502461,371,34.757975,113.665412,0.0,0.0,0.0,0.0,861116.0099423353
0,311,38.045474,114.502461,311,38.045474,114.502461,0.0,0.0,0.0,0.0,8392189.252176933
0,595,24.908853,118.589421,7311,28.25591,112.98626,0.0,0.0,233.62039614775983,0.0,0.0
0,595,24.908853,118.589421,311,38.045474,114.502461,0.0,0.0,661.9766015425937,0.0,0.0
0,595,24.908853,118.589421,28,30.659462,104.065735,0.0,0.0,95.10470082281381,0.0,0.0
0,595,24.908853,118.589421,711,30.396536,114.890593,0.0,0.0,127.83334967780786,0.0,0.0
0,28,30.659462,104.065735,760,22.521113,113.382391,3097.116741337534,0.0,0.0,0.0,0.0
0,28,30.659462,104.065735,28,30.659462,104.065735,4264.784546453596,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,371,34.757975,113.665412,520.5882589376233,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,531,36.675807,117.000923,1281.6229947051133,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,760,22.521113,113.382391,1475.6484112697872,0.0,0.0,0.0,0.0
0,316,39.523927,116.704441,311,38.045474,114.502461,11445.942910649414,0.0,0.0,0.0,0.0
0,27,30.584355,114.298572,371,34.757975,113.665412,0.0,73080.29791308277,0.0,0.0,0.0
0,27,30.584355,114.298572,311,38.045474,114.502461,0.0,227767.65123017077,0.0,0.0,0.0
0,27,30.584355,114.298572,711,30.396536,114.890593,0.0,110382.06028679854,0.0,0.0,0.0
0,510,31.574729,120.301663,572,30.867198,120.102398,14723.8025755823,0.0,0.0,0.0,0.0
