RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Reverse_Storage_Cost,Inbound_Handling_Cost,Reverse_Inbound_Handling_Cost,Outbound_Handling_Cost,Reverse_Outbound_Handling_Cost,Total_Cost,Area,Reverse_Area,Weight,Reverse_Weight,Shipping_Distance,Reverse_Shipping_Distance,Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
769,东莞市,1730305.0422818994,25857566.827707574,1147051.594615726,9488387.245128997,1190815.9552686359,0.0,0.0,9298467.293728134,1166980.533873065,49879574.49260403,26356.631236469435,3307.8220979684334,46492336.46864067,5834902.669365324,19734.339999999997,5587.7300000000005,42,16,0.5160719133509468,0.9532238909271216
27,武汉市,1223936.221356169,20641759.14666633,888294.294848644,3426461.203084437,572246.1223172299,0.0,0.0,3626507.1750926324,605655.381894959,30984859.545260396,11421.537343614791,1907.487074390766,20147262.08384796,3364752.1216386613,31590.179999999997,4031.56,71,9,0.9157043396346219,1.3178309299434652
22,天津市,3320527.20437002,23338813.28452005,1209365.4785287003,5617421.111352546,1031535.279368679,0.0,0.0,5716712.677291426,1049768.3352815988,41284143.37071301,18004.554844078673,3306.202818489356,31759514.873841256,5832046.3071199935,26355.590000000004,5005.61,50,12,0.6530236572212782,1.0982290193263353
572,湖州市,4914170.886536075,20317454.674294658,1085838.2305776975,7521307.748783449,1532787.1889208434,0.0,0.0,9045933.883254865,1843494.7792583965,46260987.391625986,28489.802078725184,5806.012079245618,50255188.240304805,10241637.662546648,7500.76,3245.62,25,15,0.35379199793461447,0.764684538423784
28,成都市/资阳市/眉山市,2379691.127114516,18205981.481299505,980234.3163493475,2275105.107802273,313966.64890272665,0.0,0.0,2736286.1712397872,377610.0702674393,27268874.92297559,8617.822378038913,1189.2676094800252,15201589.84022104,2097833.7237079963,132194.33,8797.7266671,100,8,1.1090667690022897,1.576288066605515
24,沈阳市/铁岭市/抚顺市,844735.9274103108,4191451.198156839,243723.67789870384,666920.7640513782,137100.65180102797,0.0,0.0,980357.4756959043,201534.65922911974,7265824.354243284,3087.596129867492,634.7252398195739,5446430.420532802,1119636.995717332,21002.819999999996,1334.6166667,36,3,0.6754689824047619,1.106571695602964
