RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
760,中山市,2564084.500307442,28933751.57214055,4446095.098736436,16997739.40179103,7489917.0716130845,1890617.9354620562,10023449.208654335,0.0,11257978.932185676,4564327.687414073,33411.497362181115,62544327.40103156,52105797.64844261,81805.54166666663,9276.304999999998,89.0,20.0,0.49284037079746756,0.8331018945066346
572,湖州市,4695114.905063783,37806261.333099805,5440211.133228724,22949731.13923463,9416319.060636453,1791690.9620867306,11843140.284079745,0.0,15115671.288941482,6128353.711936724,44860.37986393843,83975951.60523045,66556763.86820776,48189.279999999984,7458.129999999999,84.0,21.0,0.4715391911405285,0.7925693320045958
311,石家庄市,5130109.64738151,27466580.071804803,4281003.296758219,16912566.84074898,6273009.934297604,2830475.2643103106,6902334.978617517,0.0,9229113.432220047,3741763.7946128976,27390.21816911713,51272852.401222475,46428503.746952675,192325.37000000005,17415.55,151.0,22.0,0.5908985733626311,0.9055182532783314
