RDC,City_name,Shipping_Cost,Storage_Cost,Area,Inbound_Handling_Cost,Outbound_Handling_Cost,Weight,Shipping_Distance,Total_Cost,Customer,Ship_Avg_Price,Avg_Cost
760,中山市,21539700.57127042,7590850.466282681,25302.834887608937,0.0,7651452.023487627,42508066.79715348,16998.81,36782003.06104073,38,0.5067203049730977,0.8652946565780735
24,沈阳市/铁岭市/抚顺市,4389028.378160774,716112.2705707799,3315.334585975833,0.0,1002540.7682214237,5569670.934563465,21926.139999999996,6107681.416952978,38,0.7880229244647059,1.0965964576202885
572,湖州市,26865380.29689891,9485941.69178373,35931.59731736262,0.0,10865537.170924367,60364095.39402427,21214.520000000004,47216859.15960701,50,0.44505562655310565,0.7822010559654843
311,石家庄市,14062425.603717292,3543540.9395391485,14061.670394996621,0.0,4252179.523571963,23623219.575399797,32378.62999999999,21858146.066828404,51,0.595279807599185,0.9252822629473645
531,济南市,4505115.868867496,1930556.453150487,6187.680939584894,0.0,1871124.0877229876,10395133.820683265,4651.18,8306796.4097409705,19,0.4333870007429474,0.7991043264121221
711,鄂州市,16425301.384408237,1783305.725943142,9907.254033017456,0.0,2995904.579658773,16643914.331437627,22935.56000000001,21204511.690010153,50,0.9868652924620943,1.2740099034250798
28,成都市/资阳市/眉山市,10719475.128723739,1602603.829935994,6070.469052787856,0.0,1835679.7933427894,10198221.074126609,107717.18000000004,14157758.752002522,78,1.0511122528927694,1.388257682305148
