RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
7311,长沙市,444881.2480475266,2458034.855861548,0.0,944631.7528827352,0.0,806821.4084455357,328160.7474026736,3148.772509609117,4482341.158030755,4654369.265237345,4327.7699999999995,0.0,17.0,0.0,0.5483819212327529,1.0383790749390813
760,中山市,1345207.5426677645,17963119.02797203,0.0,6908838.306686843,0.0,5900922.38198933,2400098.806214936,23029.461022289473,32782902.122162934,32118087.259315968,7244.54,0.0,24.0,0.0,0.5479416972003841,0.9797206830447901
851,贵阳市,315937.1760539779,2606225.6772641786,0.0,498295.1970442918,0.0,443333.2877622562,180318.19872113309,1730.191656403791,2462962.709790312,3863791.338124705,13938.14,0.0,22.0,0.0,1.0581669251038166,1.5687575466595896
771,南宁市/崇左市,254783.63065815583,1163488.0722833732,0.0,442385.57265335106,0.0,393590.48922473507,160086.169953548,1536.061016157469,2186613.8290263056,2254247.764819615,3348.3199999999997,0.0,11.0,0.0,0.5320958172122564,1.0309309009645415
28,成都市/资阳市/眉山市,1367250.0783731802,5341147.146206181,0.0,1302956.7200509303,0.0,1264626.2477017608,514365.00108544546,4935.442121405039,7025701.376120892,9275980.192332052,23732.879999999994,0.0,31.0,0.0,0.7602297422375207,1.320292408649684
595,泉州市,477583.7170955282,2608336.307957792,0.0,930251.8596378972,0.0,902885.6450623127,367233.22534740955,3523.681286507187,5016031.361457293,4919057.52975353,1733.54,0.0,9.0,0.0,0.52,0.9806672198166662
572,湖州市,3093821.629005916,29145361.604189146,0.0,9966291.172268061,0.0,9673102.118231436,3934368.111199537,37751.10292525781,53739456.21239688,51878576.52369456,14607.56,0.0,42.0,0.0,0.5423456740797045,0.9653721898236655
311,石家庄市,1874595.5443947196,13697192.136500126,0.0,3467488.9097993253,0.0,3525743.1286948645,1434035.4484290439,13759.8766261878,19587461.82608259,22565019.719389036,14882.55,0.0,34.0,0.0,0.6992836671804509,1.1520134624763654
29,西安市/咸阳市,571380.5650694618,5337503.637310325,0.0,658548.6281123146,0.0,703092.9381237561,285970.9740632259,2743.9526171346442,3906071.878465312,7270525.768615858,66580.99999999999,0.0,48.0,0.0,1.3664632406630008,1.8613394721943604
371,郑州市,716338.8988667453,7870966.354653397,0.0,1390623.5683865296,0.0,1484685.5171859448,603870.3285233342,5794.264868277206,8248252.873255248,11462614.339092616,7898.7699999999995,0.0,28.0,0.0,0.9542586139877944,1.3897020999756025
24,沈阳市/铁岭市/抚顺市,614912.2295457056,5252094.44013092,0.0,795957.3090125303,0.0,944217.7322894733,384044.3417781321,3684.987541724677,5245654.068274851,7607181.71097863,21153.459999999995,0.0,37.0,0.0,1.0012277538267382,1.4501874526927048
711,鄂州市,505358.17832901934,3623567.978286967,0.0,629724.1968392617,0.0,896425.0917100636,364605.50625800935,3498.4677602181205,4980139.398389243,5655075.445165312,5924.45,65744.24,20.0,63.0,0.7276037252007364,1.1355255330793286
