RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
7311,长沙市,545680.5562370546,3777721.3466645316,0.0,1050940.9641540605,0.0,989627.5846121759,402514.01910904655,3503.1365471802014,5497931.0256232,6363970.451667823,7325.73,0.0,21.0,0.0,0.6871169043515456,1.1575209696171944
760,中山市,1467651.9073352865,22177796.655462135,0.0,6836915.306776372,0.0,6438040.0155867,2618562.1764718816,22789.717689254572,35766888.97548167,36920403.88516049,15989.760000000002,0.0,36.0,0.0,0.6200650179741687,1.032250915377895
28,成都市/资阳市/眉山市,1493744.5384130483,6315654.5351447435,0.0,1291159.114713493,0.0,1381626.2149247408,561952.7277968077,4890.754222399595,7675701.194026336,10482184.403196028,42443.98,0.0,48.0,0.0,0.8228114116870446,1.36563216027141
595,泉州市,477583.7170955282,2608336.307957792,0.0,843765.8590819931,0.0,902885.6450623127,367233.22534740955,3196.0827995530044,5016031.361457293,4832571.529197626,1733.54,0.0,9.0,0.0,0.52,0.9634253019888681
572,湖州市,3093821.629005916,29145361.604189146,0.0,9039719.884143366,0.0,9673102.118231436,3934368.111199537,34241.36319751275,53739456.21239688,50952005.235569865,14607.56,0.0,42.0,0.0,0.5423456740797045,0.9481302719958674
311,石家庄市,1874595.5443947196,13697192.136500126,0.0,3145114.6574143544,0.0,3525743.1286948645,1434035.4484290439,12480.613719898232,19587461.82608259,22242645.467004064,14882.55,0.0,34.0,0.0,0.6992836671804509,1.1355552681861945
29,西安市/咸阳市,571380.5650694619,5337503.637310325,0.0,597323.018695977,0.0,703092.9381237561,285970.9740632259,2488.8459112332375,3906071.878465312,7209300.15919952,66580.99999999999,0.0,48.0,0.0,1.3664632406630008,1.8456650014418168
371,郑州市,716338.8988667453,7870966.354653397,0.0,1261336.5699651062,0.0,1484685.5171859448,603870.3285233342,5255.569041521276,8248252.873255248,11333327.340671193,7898.7699999999995,0.0,28.0,0.0,0.9542586139877944,1.3740276292230589
24,沈阳市/铁岭市/抚顺市,614912.2295457056,5252094.44013092,0.0,721956.7428685081,0.0,944217.7322894733,384044.3417781321,3342.3923280949452,5245654.068274851,7533181.144834608,21153.459999999995,0.0,37.0,0.0,1.0012277538267382,1.4360804290154154
711,鄂州市,505358.17832901934,3623567.978286967,0.0,571178.40983153,0.0,896425.0917100636,364605.50625800935,3173.213387952944,4980139.398389243,5596529.6581575805,5924.45,65744.24,20.0,63.0,0.7276037252007364,1.123769680014921
