RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
7311,长沙市,449521.1075014506,2518780.906112757,0.0,909032.1210124705,0.0,815236.0987837639,331583.278140765,3030.107070041568,4529089.437687578,4692570.233410442,4998.09,0.0,18.0,0.0,0.5561340619934354,1.0360957313764891
760,中山市,1377926.799876931,19327310.362104326,0.0,6739886.496070201,0.0,6044449.5263619665,2458476.0065183355,22466.288320234,33580275.14645536,33489573.184413426,8623.960000000001,0.0,25.0,0.0,0.5755554496742848,0.9972989511954159
771,南宁市/崇左市,416441.5756766003,3089046.387625305,0.0,688643.1232667442,0.0,643320.1500452276,261659.41935623914,2391.1219557873064,3574000.8335845973,4837451.236613877,20521.730000000003,0.0,28.0,0.0,0.8643104832538888,1.3535115020558302
28,成都市/资阳市/眉山市,1412292.7056287692,5649036.660354587,0.0,1281791.6854282892,0.0,1306288.0399326603,531310.2193623973,4855.2715357132165,7257155.777403668,9649409.091344306,25664.28999999999,0.0,34.0,0.0,0.778409177593208,1.3296406178008895
595,泉州市,477583.7170955282,2608336.307957792,0.0,885954.152036093,0.0,902885.6450623127,367233.22534740955,3355.8869395306547,5016031.361457293,4874759.822151726,1733.54,0.0,9.0,0.0,0.52,0.9718359936121843
572,湖州市,3093821.629005916,29145361.604189146,0.0,9491705.878350535,0.0,9673102.118231436,3934368.111199537,35953.43135738839,53739456.21239688,51403991.22977704,14607.56,0.0,42.0,0.0,0.5423456740797045,0.9565409636191836
311,石家庄市,1874595.5443947196,13697192.136500126,0.0,3302370.3902850724,0.0,3525743.1286948645,1434035.4484290439,13104.644405893145,19587461.82608259,22399901.199874785,14882.55,0.0,34.0,0.0,0.6992836671804509,1.1435836556448147
29,西安市/咸阳市,571380.5650694619,5337503.637310325,0.0,627189.1696307759,0.0,703092.9381237561,285970.9740632259,2613.2882067948995,3906071.878465312,7239166.31013432,66580.99999999999,0.0,48.0,0.0,1.3664632406630008,1.8533110847357406
371,郑州市,716338.8988667453,7870966.354653397,0.0,1324403.3984633617,0.0,1484685.5171859448,603870.3285233342,5518.34749359734,8248252.873255248,11396394.169169448,7898.7699999999995,0.0,28.0,0.0,0.9542586139877944,1.3816737125169827
24,沈阳市/铁岭市/抚顺市,614912.2295457056,5252094.44013092,0.0,758054.5800119337,0.0,944217.7322894733,384044.3417781321,3509.511944499693,5245654.068274851,7569278.981978034,21153.459999999995,0.0,37.0,0.0,1.0012277538267382,1.442961903979947
711,鄂州市,505358.17832901934,3623567.978286967,0.0,599737.3303231064,0.0,896425.0917100636,364605.50625800935,3331.874057350591,4980139.398389243,5625088.578649157,5924.45,65744.24,20.0,63.0,0.7276037252007364,1.1295042424853639
