RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
572,湖州市,11196763.31,162277090.9,25615965.66,113481879.2,23179246.07,11046680.57,23194080.8,0,35602763.65,14434445.19,87856.36667,197793131.4,232120615.9,512108.16,68165.25,324,63,0.876288121,1.17355246
,,,,,,,,,,,,,,,,,,,,
仓数,城市,,,,,,,,,,,,,,,,,,,
1,湖州市,,,,,,,,,,,,,,,,,,,
2,湖州市,中山市,,,,,,,,,,,,,,,,,,
3,湖州市,石家庄市,中山市,,,,,,,,,,,,,,,,,
4,鄂州市,湖州市,天津市,中山市,,,,,,,,,,,,,,,,
5,鄂州市,湖州市,天津市,郑州市,中山市,,,,,,,,,,,,,,,
6,鄂州市,湖州市,沈阳市,天津市,郑州市,中山市,,,,,,,,,,,,,,
7,鄂州市,湖州市,泉州市,沈阳市,天津市,郑州市,中山市,,,,,,,,,,,,,
8,鄂州市,贵阳市,湖州市,泉州市,沈阳市,天津市,郑州市,中山市,,,,,,,,,,,,
9,鄂州市,贵阳市,湖州市,泉州市,沈阳市,石家庄市,天津市,郑州市,中山市,,,,,,,,,,,
10,鄂州市,贵阳市,湖州市,济南市,泉州市,沈阳市,石家庄市,天津市,郑州市,中山市,,,,,,,,,,
11,鄂州市,贵阳市,湖州市,济南市,泉州市,沈阳市,石家庄市,天津市,西安市,郑州市,中山市,,,,,,,,,
12,鄂州市,贵阳市,湖州市,济南市,南宁市,泉州市,沈阳市,石家庄市,天津市,西安市,郑州市,中山市,,,,,,,,
