RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Normal_Weight,Reverse_Weight,,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
711,鄂州市,3114809.178,14379543.11,3638458.772,7000695.075,3740389.258,1371689.973,3040635.975,0,5913362.454,2397457.318,16892.42208,32852013.64,29084647.65,3767365.986,17%,31705926.58,170390.44,7831.95,134,10,0.6925581,0.965113644
572,湖州市,4071757.873,31635675.26,3742996.067,19933925.02,7958754.169,1667549.261,9764151.517,0,12947119.55,5249156.763,36985.42241,71928441.96,60808441.96,11120000,36%,75948420.61,20596.25,5407.73,50,19,0.740140452,1.055888582
22,天津市,4186242.613,21843095.1,2541743.571,14421694.13,4879657.397,2061774.928,5059674.246,0,7028531.429,2849580.799,20078.07241,39047396.83,31828988.89,7218407.944,20%,50414769.83,72614.99,12258.97,78,17,0.981539546,1.291117307
760,中山市,2343340.335,24984674.47,2999603.859,15384625.37,6600445.243,1568692.941,8324642.87,0,9713750.216,3938250.314,27748.80957,53965278.98,47585675.73,6379603.25,27%,59976385.87,50992.93,7081.055,62,17,0.777129176,1.111388415
,,,,,,,,,,,,,,,,,,,,,,,
,,,,21668712.75,0.127463016,,,,,,,,,,,,,,,,,,
,,,,,0.52025137,,,,,,,,,,,,,,,,,,
,,,,,0.52025137,,,,,,,,,,,,,,,,,,
