RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,2462437.7771829674,19027139.70869984,857511.8827788829,15475950.281680519,2693677.54424044,945046.2136699819,3798480.6925072907,0.0,4134333.0789014394,1676184.6024664845,15073.336081378136,22968517.105008,27904999.693778552,3842.89,2130.5099999999998,13.0,7.0,0.8695461631702439,1.2149238701916119
760,中山市,1989373.5863617987,34314500.350337446,1987161.0908905137,26647896.339343105,5679442.920103828,949979.9676550449,9019720.624925572,0.0,8246466.727903867,3343368.879639839,30065.73541641857,45813704.04391037,52530667.67082193,14546.02,2817.7650000000003,35.0,12.0,0.7697365025144677,1.1466147251589536
851,贵阳市,516139.96424542065,1865995.7556911972,258859.34343634453,1193528.2477868025,413608.1644680502,249335.50615905857,781708.2162080465,0.0,744471.8291858977,301831.563455705,2714.2646396112727,4135954.6065883217,3641511.3072442003,25826.92,928.1600000000001,28.0,3.0,0.5114493419440975,0.8804524356828037
595,泉州市,600743.2486865956,4766365.875612539,240740.6226859435,3744964.2300034184,780661.0229231768,214077.7674157026,1147480.9283394907,0.0,1192168.4629044745,483341.41998970124,4346.518667952616,6623158.12724708,7320093.034272207,1330.8,697.79,8.0,5.0,0.751974140937258,1.1052269768644054
572,湖州市,3747057.977812276,47242591.14726389,3179299.865495554,36804614.46484213,7258676.816926201,1544422.0272538508,11468047.247085683,0.0,11914659.251773719,4830565.897889536,43439.57290562758,66192551.3987429,72169719.67337714,12927.340000000002,3832.7000000000003,37.0,17.0,0.7370468752688734,1.0902997111960206
311,石家庄市,690512.4181564843,3782675.257529017,364907.3867164038,2687817.4304949967,729950.4403176164,562020.6632736399,1177037.4528003267,0.0,1281108.2298818184,519400.3114987505,4670.783542858439,7117267.943787879,6802841.603484802,12701.3,5630.62,24.0,7.0,0.6104443383496346,0.9558220453710028
371,郑州市,1401594.321567558,15817574.981381837,1440425.2459877443,12123909.35760985,2253240.377784242,523489.2636380177,2475780.141820628,0.0,2829416.704535874,1147131.7437647493,10315.750590919284,15718981.691865971,21646261.091376357,94694.63,3243.6499999999996,70.0,5.0,1.0395752450984652,1.377077823214054
24,沈阳市/铁岭市/抚顺市,868837.0705655636,5297486.405773642,408235.826544228,4156537.750839951,732712.8283894619,252087.5932283983,937010.076119835,0.0,1189834.5885261348,482395.1962040502,4338.009611665903,6610192.158478532,7676418.663648009,21340.179999999997,1334.6166666999998,37.0,3.0,0.8395480594136593,1.161300379717689
711,鄂州市,2143995.532312751,15562002.140194414,2278065.096582359,10646661.092217933,2637275.951394122,412460.90567582846,2671181.2355179363,0.0,4070304.7797339805,1650225.5790548716,14839.895752877424,22612804.331855446,22715949.06112216,51617.079999999994,1724.1699999999998,72.0,4.0,0.7064344081979456,1.004561341784637
