RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,2804039.6344121476,20815865.065736853,1045173.596801313,16767946.23176274,3002745.237172797,1377416.3768442017,4119452.57045414,0.0,4707868.731758601,1908713.431648331,16347.03400973865,26154826.28754779,31020602.744793795,9392.059999999998,6770.009999999999,23.0,11.0,0.8485348439552507,1.1860374220708392
760,中山市,1989373.586361799,34314500.350337446,1987161.0908905137,26647896.339343105,5679442.920103828,949979.9676550449,8590210.118976733,0.0,8246466.727903867,3343368.879639839,28634.033729922445,45813704.04391037,52101157.16487309,14546.02,2817.7650000000003,35.0,12.0,0.7697365025144677,1.1372395716996924
851,贵阳市,516139.9642454207,1865995.7556911972,258859.34343634453,1193528.2477868025,413608.1644680502,249335.50615905857,744484.0154362347,0.0,744471.8291858977,301831.563455705,2585.013942486926,4135954.6065883217,3604287.106472388,25826.92,928.1600000000001,28.0,3.0,0.5114493419440975,0.8714522883619128
595,泉州市,600743.2486865956,4766365.875612539,240740.6226859435,3744964.2300034184,780661.0229231768,214077.7674157026,1092838.9793709433,0.0,1192168.4629044745,483341.41998970124,4139.5415885263,6623158.12724708,7265451.08530366,1330.8,697.79,8.0,5.0,0.751974140937258,1.0969768418202555
572,湖州市,3857982.946712417,48987932.0748546,3324869.043687197,38157784.394129194,7505278.637038212,1544422.0272538508,11245274.603456195,0.0,12267371.490224434,4973566.186426923,42595.737134303774,68152063.8345802,74045000.19578908,13283.88,3832.7000000000003,38.0,17.0,0.7414647665661513,1.086467467449149
371,郑州市,1752101.090141034,17960472.982540652,1766619.0193485273,13519730.838022625,2674123.1251695016,737684.9358858143,2947539.3154126317,0.0,3536989.281560533,1434003.2260816502,12281.413814219299,19649940.453114074,25182686.51539963,104915.25,5125.599999999999,84.0,8.0,0.9515630830048255,1.2815655383530051
24,沈阳市/铁岭市/抚顺市,868837.0705655636,5297486.405773642,408235.826544228,4156537.750839951,732712.8283894619,252087.5932283983,892390.5486855572,0.0,1189834.5885261348,482395.1962040502,4131.437725396098,6610192.158478532,7631799.136213731,21340.179999999997,1334.6166666999998,37.0,3.0,0.8395480594136593,1.1545502692270209
711,鄂州市,1958207.6111733958,13786605.78760814,2102440.493395158,9293491.162930872,2390674.13128211,412460.90567582846,2323533.3715690365,0.0,3717592.541283266,1507225.2905174822,12908.518730939091,20653291.89601814,20240192.60613627,51212.34,1724.1699999999998,71.0,4.0,0.6874965387973567,0.9799983803084915
