,CDC_Name,CDC_LAT,CDC_LGT,RDC_Name,RDC_LAT,RDC_LGT,SKU1,SKU10,SKU11,SKU12,SKU13,SKU14,SKU15,SKU16,SKU2,SKU3,SKU4,SKU5,SKU6,SKU7,SKU8,SKU9
0,510,31.574729,120.301663,572,30.867198,120.102398,0.0,233231.53608831074,0.0,1799779.4277309272,0.0,0.0,0.0,0.0,0.0,0.0,507796.65618835617,0.0,0.0,0.0,0.0,375362.1142331942
0,510,31.574729,120.301663,24,41.796767,123.429096,0.0,18130.41782779228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,512,31.299379,120.619585,531,36.675807,117.000923,0.0,0.0,0.0,0.0,101259.66790540339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,512,31.299379,120.619585,572,30.867198,120.102398,0.0,0.0,174536.5569277745,0.0,677839.5948703923,0.0,0.0,0.0,0.0,0.0,0.0,14146.568056418322,0.0,0.0,0.0,0.0
0,512,31.299379,120.619585,311,38.045474,114.502461,0.0,0.0,0.0,0.0,233438.05244871182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,512,31.299379,120.619585,24,41.796767,123.429096,0.0,0.0,0.0,0.0,52692.33861482763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,515,33.377631,120.139998,531,36.675807,117.000923,0.0,0.0,0.0,0.0,0.0,888069.9942778985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,515,33.377631,120.139998,311,38.045474,114.502461,0.0,0.0,0.0,0.0,0.0,2047304.0667686104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,515,33.377631,120.139998,24,41.796767,123.429096,0.0,0.0,0.0,0.0,0.0,462123.62552753405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,519,31.772752,119.946973,531,36.675807,117.000923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2113.2975916935147,0.0,0.0,0.0,0.0
0,519,31.772752,119.946973,311,38.045474,114.502461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4871.871340821989,0.0,0.0,0.0,0.0
0,519,31.772752,119.946973,24,41.796767,123.429096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.6934376620875,0.0,0.0,0.0,0.0
0,534,37.453968,116.307428,531,36.675807,117.000923,0.0,0.0,0.0,268861.642981858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,534,37.453968,116.307428,311,38.045474,114.502461,0.0,0.0,0.0,619817.7380403662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,537,35.415393,116.587245,531,36.675807,117.000923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75857.65298785619,0.0,0.0,0.0,4979636.126220593,0.0
0,537,35.415393,116.587245,28,30.659462,104.065735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4901228.957616394,0.0
0,537,35.415393,116.587245,311,38.045474,114.502461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11479758.755422035,0.0
0,551,31.86119,117.283042,531,36.675807,117.000923,0.0,0.0,26073.298056951477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,551,31.86119,117.283042,311,38.045474,114.502461,0.0,0.0,60107.8400238833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,551,31.86119,117.283042,24,41.796767,123.429096,0.0,0.0,13567.722257450769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,556,30.50883,117.043551,760,22.521113,113.382391,0.0,150295.7911885866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,556,30.50883,117.043551,28,30.659462,104.065735,0.0,34292.900490962435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,556,30.50883,117.043551,311,38.045474,114.502461,0.0,80321.53324487779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,571,30.287459,120.153576,572,30.867198,120.102398,13837801.419604082,0.0,0.0,0.0,0.0,5944805.247635622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33334047.0517109,0.0
0,575,29.997117,120.582112,760,22.521113,113.382391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241885.58240056122
0,579,29.089524,119.649506,572,30.867198,120.102398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3483.917522596902,0.0,0.0
0,595,24.908853,118.589421,572,30.867198,120.102398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478635.2871366135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,716,30.326857,112.23813,760,22.521113,113.382391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327227.1901337133,0.0,0.0,0.0,0.0,0.0
0,716,30.326857,112.23813,28,30.659462,104.065735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74663.23162111832,0.0,0.0,0.0,0.0,0.0
0,737,28.570066,112.355042,531,36.675807,117.000923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71501.35605832822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,737,28.570066,112.355042,28,30.659462,104.065735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70375.52703432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,737,28.570066,112.355042,311,38.045474,114.502461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164834.9994717628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,737,28.570066,112.355042,24,41.796767,123.429096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37207.051363870254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,752,23.079404,114.412599,760,22.521113,113.382391,8917161.664975109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,755,22.547,114.085947,760,22.521113,113.382391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308435.4302058685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,756,22.224979,113.553986,760,22.521113,113.382391,0.0,0.0,0.0,0.0,436803.87274653197,0.0,0.0,0.0,0.0,1029014.1798389403,0.0,0.0,0.0,2245.0572048550907,0.0,0.0
0,758,23.051546,112.472529,760,22.521113,113.382391,0.0,0.0,0.0,0.0,0.0,3830867.914093533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,758,23.051546,112.472529,28,30.659462,104.065735,0.0,0.0,0.0,0.0,0.0,874086.8332579533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,760,22.521113,113.382391,760,22.521113,113.382391,0.0,0.0,112472.39697833628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9116.132725025342,0.0,0.0,0.0,0.0
0,760,22.521113,113.382391,28,30.659462,104.065735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.022533761013,0.0,0.0,0.0,0.0
0,769,23.046237,113.746262,760,22.521113,113.382391,0.0,0.0,0.0,1159788.5843076538,0.0,0.0,81187.03451908544,0.0,0.0,0.0,0.0,0.0,7955766.319721876,0.0,0.0,0.0
0,771,22.82402,108.320004,28,30.659462,104.065735,0.0,0.0,25662.759329823533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,851,26.578343,106.713478,28,30.659462,104.065735,2034623.4263813384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7311,28.25591,112.98626,28,30.659462,104.065735,0.0,0.0,0.0,264628.2653538262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
