RDC,RDC_NAME,RDC_LAT,RDC_LGT,CUSTOMER,WEIGHT,CUSTOMER_LGT,CUSTOMER_LAT,CUSTOMER_NAME,TYPE
572,HuZhou,30.867198,120.102398,464,11175.446759046843,131.015584,45.771266,QiTaiHe,Normal
572,HuZhou,30.867198,120.102398,467,21706.606943662406,130.975966,45.300046,JiXi,Normal
572,HuZhou,30.867198,120.102398,468,11852.168711703789,130.277487,47.332085,HeGang,Normal
572,HuZhou,30.867198,120.102398,471,549813.5186654915,111.670801,40.818311,HuHeHaoTe,Normal
572,HuZhou,30.867198,120.102398,472,269406.9804184198,109.840405,40.658168,BaoTou,Normal
572,HuZhou,30.867198,120.102398,474,20026.376725927297,113.114543,41.034126,WuLanChaBu,Normal
572,HuZhou,30.867198,120.102398,475,44124.74222839628,122.263119,43.617429,TongLiao,Normal
572,HuZhou,30.867198,120.102398,476,79115.77180226719,118.956806,42.275317,ChiFeng,Normal
572,HuZhou,30.867198,120.102398,477,53135.442009047416,109.99029,39.817179,EErDuoSi,Normal
572,HuZhou,30.867198,120.102398,478,28610.01090086758,107.416959,40.757402,BaYanNaoEr,Normal
572,HuZhou,30.867198,120.102398,510,2277423.7668733923,120.301663,31.574729,WuXi,Normal
572,HuZhou,30.867198,120.102398,511,361523.2742434816,119.452753,32.204402,ZhenJiang,Normal
572,HuZhou,30.867198,120.102398,513,1061892.7589881942,120.864608,32.016212,NanTong,Normal
572,HuZhou,30.867198,120.102398,514,484462.362055354,119.421003,32.393159,YangZhou,Normal
572,HuZhou,30.867198,120.102398,515,459686.15884298383,120.139998,33.377631,YanCheng,Normal
572,HuZhou,30.867198,120.102398,516,508764.3770899401,117.184811,34.261792,XuZhou,Normal
572,HuZhou,30.867198,120.102398,517,617076.763463511,119.021265,33.597506,HuaiAn,Normal
572,HuZhou,30.867198,120.102398,518,504909.9015020032,119.178821,34.600018,LianYunGang,Normal
572,HuZhou,30.867198,120.102398,519,1621704.360652369,119.946973,31.772752,ChangZhou,Normal
572,HuZhou,30.867198,120.102398,523,654853.3457388971,119.92554,32.45546,,Normal
572,HuZhou,30.867198,120.102398,527,294950.6456484583,118.275162,33.963008,SuQian,Normal
572,HuZhou,30.867198,120.102398,531,2302472.1730769756,117.000923,36.675807,JiNan,Normal
572,HuZhou,30.867198,120.102398,533,390829.8797279478,118.047648,36.814939,ZiBo,Normal
572,HuZhou,30.867198,120.102398,534,264833.7473507219,116.307428,37.453968,DeZhou,Normal
572,HuZhou,30.867198,120.102398,535,976193.8502337816,121.391382,37.539297,YanTai,Normal
572,HuZhou,30.867198,120.102398,538,218378.31326260197,117.129063,36.194968,TaiAn,Normal
572,HuZhou,30.867198,120.102398,543,194011.9892745817,118.016974,37.383542,BinZhou,Normal
572,HuZhou,30.867198,120.102398,546,138342.09756387718,118.66471,37.434564,DongYing,Normal
572,HuZhou,30.867198,120.102398,552,133729.45326176938,117.363228,32.939667,BangBu,Normal
572,HuZhou,30.867198,120.102398,553,524300.6056213068,118.376451,31.326319,WuHu,Normal
572,HuZhou,30.867198,120.102398,563,137553.466713869,118.757995,30.945667,XuanCheng,Normal
572,HuZhou,30.867198,120.102398,571,5852454.225458027,120.153576,30.287459,HangZhou,Normal
