,RDC,City_name,Shipping_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Customer,Ship_Avg_Price,Avg_Cost
0,531,JiNan,4505115.868867496,2027084.2758080114,0.0,1871124.0877229874,758610.7179295766,6497.064986564134,10395133.820683265,8403324.232398495,19.0,0.4333870007429474,0.8083901926955809
1,760,ZhongShan,21539700.57127042,7970392.989596815,0.0,7651452.023487629,3102131.788493651,26567.976631989357,42508066.79715348,37161545.58435486,38.0,0.5067203049730977,0.8742233741583223
2,28,ChengDu/ZiYang/MeiShan,6864415.801927502,1458418.2921393155,0.0,1590975.7305804638,645030.0378810888,5524.311712648907,8838754.05878036,9913809.824647281,52.0,0.7766270852517315,1.1216297861347289
3,572,HuZhou,26865380.29689891,9960238.77637292,0.0,10865537.170924367,4405219.839778861,37728.17718323074,60364095.39402427,47691156.24419619,50.0,0.44505562655310565,0.7900583274361032
4,311,ShiJiaZhuang,11625502.433398252,3477196.5534633645,0.0,3973873.869950694,1611129.5499987071,13798.39902168001,22077077.05528164,19076572.85681231,33.0,0.5265870298086861,0.8640896079242746
5,29,XiAn/XianYang,6429065.450503241,845638.7415680368,0.0,1014749.8794531823,411410.5203507467,3523.4947565334865,5637499.330295456,8289454.07152446,51.0,1.1404108584020534,1.4704133137502329
6,24,ShenYang/TieLin/FuShun,4389028.378160774,751917.8840993185,0.0,1002540.7682214231,406460.5746482802,3481.101315274628,5569670.934563465,6143487.030481515,38.0,0.7880229244647059,1.1030251342780675
7,711,EZhou,13137332.63419668,1565128.3795163298,0.0,2504164.4165891823,1015264.5558607437,8695.157663979619,13912024.536606574,17206625.43030219,43.0,0.94431494133931,1.2368167828504446
