,RDC,Trans_cost,Dist_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost
6,6,12078781.16295406,102139986.55662116,0,26252291.24275818,30474417.946929928,170945476.90926334
7,7,12667354.038250808,98506427.23204687,0,26652911.377205964,30474417.946929928,168301110.59443358
8,8,12813263.094681442,95355541.43522328,0,28056015.892564114,30474417.946929928,166699238.36939877
