,RDC,City_name,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
0,572,湖州市,46432327.528854825,4576900.401541618,37011342.88681373,4844084.240499472,3268122.2739429786,7033426.795895056,0.0,10282156.696411662,4168699.6199281625,26641.76816626915,57123092.75784258,67016033.29510452,120965.12,15505.600000000004,83.0,27.0,0.8700588046499688,1.1731863605354895
1,711,鄂州市,134861755.6966408,19290012.986892283,103442278.26125692,12129464.448491592,6368949.66118556,11809335.030853745,0.0,25320606.95693554,10265745.57403552,65607.41683807636,140670038.64964184,178360647.34561563,305679.6700000001,40572.990000000005,241.0,36.0,1.0039856867430095,1.2679362930285918
