,RDC,Trans_cost,Dist_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost
6,6,12078831.780441979,102139986.55662116,0,26252291.242758177,30474417.946929928,170945527.52675125
7,7,12667403.261786502,98506427.23204687,0,26652911.37720596,30474417.946929928,168301159.81796926
8,8,12813310.411563013,95355541.43522328,0,28056015.892564114,30474417.946929928,166699285.68628034
