,RDC,City_name,Shipping_Cost,Trunk_Cost,Transit_Cost,Dist_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
0,760,中山市,29673181.794410363,1372705.051751463,24835217.013353575,3465259.729305324,1568692.940616889,4951929.69040094,0.0,6067154.986962495,2459809.4966810285,16506.432301336466,33706416.59423609,42260959.412390694,31450.899999999998,7081.054999999999,25.0,17.0,0.9268821159817302,1.2537956769814997
1,572,湖州市,44926232.53396953,4348834.610209027,35853127.08498596,4724270.838774549,3139405.418871119,7214570.626391932,0.0,10044733.910764985,4072441.1884034816,27327.919039363383,55804077.282027714,65324942.489997566,109721.26,14544.080000000002,79.0,26.0,0.8613284242640938,1.1706123579438907
2,711,鄂州市,103102044.29467443,14952740.005238028,78540757.1886683,9608547.100768108,3475330.9139216477,9544912.724495329,0.0,19490874.755619712,7902194.508879174,53027.29291386294,108282637.53122061,135613162.6887111,271871.44000000006,22828.63,220.0,20.0,0.9842517474499745,1.2523998840498358
