,RDC,Trans_cost,Trunk_cost,Transit_cost,Dist_cost,Rdc_cus_cost,Reverse_shipping_cost,Storage_cost,Handling_cost,Total_Cost,Total_Area,RDC_Shipping_Distance,RDC_Reverse_Distance
1,1,18753427.652597558,25720143.339597844,146618342.1296851,16249622.196157306,188588107.66544026,11047369.227993436,15814146.00074494,35602763.65334721,269805814.2001234,87856.36667080523,432427.37,65744.24
2,2,16571046.317998208,23866913.3884339,140453621.14807063,16973548.688991062,181294083.2254956,9637071.935128538,18842761.8267488,35602763.6533472,261947726.95871836,92249.1850043455,426644.7900000001,56078.59000000001
3,3,14889258.670675952,20674279.667198516,139229101.2870078,17798077.66884798,177701458.6230543,8183429.273409656,21711413.0412882,35602763.653347194,258088323.2617753,96861.6442545628,413043.6000000001,44453.765
