RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Reverse_Storage_Cost,Inbound_Handling_Cost,Reverse_Inbound_Handling_Cost,Outbound_Handling_Cost,Reverse_Outbound_Handling_Cost,Total_Cost,Area,Reverse_Area,Weight,Reverse_Weight,Shipping_Distance,Reverse_Shipping_Distance,Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
22,天津市,3320527.20437002,26179552.886174787,1209365.4785287003,5617421.111352546,1031535.279368679,0.0,0.0,5716712.677291426,1049768.3352815988,44124882.97236775,18004.554844078673,3306.202818489356,31759514.873841256,5832046.3071199935,26355.590000000004,5005.61,50,12,0.7285922027248757,1.1737975648299328
769,东莞市,1730305.0422818994,30162584.142312255,1147051.594615726,9488387.245128997,1190815.9552686359,0.0,0.0,9298467.293728134,1166980.533873065,54184591.80720871,26356.631236469435,3307.8220979684334,46492336.46864067,5834902.669365324,19734.339999999997,5587.7300000000005,42,16,0.5983429711312127,1.0354949487073875
28,成都市/资阳市/眉山市,2379691.127114516,19488084.34785098,980234.3163493475,2275105.107802273,313966.64890272665,0.0,0.0,2736286.1712397872,377610.0702674393,28550977.789527062,8617.822378038913,1189.2676094800252,15201589.84022104,2097833.7237079963,132194.33,8797.7266671,100,8,1.1831792307160303,1.6504005283192558
572,湖州市,4914170.886536075,25127594.120152403,1085838.2305776975,7521307.748783449,1532787.1889208434,0.0,0.0,9045933.883254865,1843494.7792583965,51071126.837483734,28489.802078725184,5806.012079245618,50255188.240304805,10241637.662546648,7500.76,3245.62,25,15,0.4333026065338505,0.8441951470230201
27,武汉市,1223936.221356169,22313598.39880715,888294.294848644,3426461.203084437,572246.1223172299,0.0,0.0,3626507.1750926324,605655.381894959,32656698.797401216,11421.537343614791,1907.487074390766,20147262.08384796,3364752.1216386613,31590.179999999997,4031.56,71,9,0.9868100831719276,1.388936673480771
24,沈阳市/铁岭市/抚顺市,844735.9274103108,4695292.549955251,243723.67789870384,666920.7640513782,137100.65180102797,0.0,0.0,980357.4756959043,201534.65922911974,7769665.706041696,3087.596129867492,634.7252398195739,5446430.420532802,1119636.995717332,21002.819999999996,1334.6166667,36,3,0.7522030942951566,1.1833058074933587
