供应商代码,供应商城市,供应商_LAT,供应商_LGT,RDC代码,RDC城市,RDC_LAT,RDC_LGT,SKU_NO,品类,重量(kg)
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU1,包装胶袋,3886363
510,无锡市,31.574729,120.301663,22,天津市,39.125596,117.190182,SKU10,雨具,65503
311,石家庄市,38.045474,114.502461,22,天津市,39.125596,117.190182,SKU2,背胶运单,55784
431,长春市,43.886841,125.3245,22,天津市,39.125596,117.190182,SKU3,常规运单,448475
316,廊坊市,39.523927,116.704441,22,天津市,39.125596,117.190182,SKU4,春秋冬装,142615
519,常州市,31.772752,119.946973,22,天津市,39.125596,117.190182,SKU5,防护用品,3973
27,武汉市,30.584355,114.298572,22,天津市,39.125596,117.190182,SKU6,封箱胶纸,3467358
312,保定市,38.867657,115.482331,22,天津市,39.125596,117.190182,SKU7,配饰用品,978
537,济宁市,35.415393,116.587245,22,天津市,39.125596,117.190182,SKU8,文件封,9361906
22,天津市,39.125596,117.190182,22,天津市,39.125596,117.190182,SKU9,夏装,105421
312,保定市,38.867657,115.482331,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU1,包装胶袋,1162395
510,无锡市,31.574729,120.301663,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU10,雨具,19592
311,石家庄市,38.045474,114.502461,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU2,背胶运单,16685
431,长春市,43.886841,125.3245,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU3,常规运单,134137
316,廊坊市,39.523927,116.704441,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU4,春秋冬装,42656
519,常州市,31.772752,119.946973,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU5,防护用品,1188
27,武汉市,30.584355,114.298572,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU6,封箱胶纸,1037072
24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU7,配饰用品,293
431,长春市,43.886841,125.3245,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU8,文件封,2800106
22,天津市,39.125596,117.190182,24,沈阳市/铁岭市/抚顺市,41.796767,123.429096,SKU9,夏装,31531
851,贵阳市,26.578343,106.713478,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU1,包装胶袋,2264629
556,安庆市,30.50883,117.043551,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU10,雨具,38170
311,石家庄市,38.045474,114.502461,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU2,背胶运单,32506
20,广州市,23.125178,113.280637,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU3,常规运单,261332
716,荆州市,30.326857,112.23813,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU4,春秋冬装,83104
760,中山市,22.521113,113.382391,28,成都市/资阳市/眉山市,30.659462,104.065735,SKU5,防护用品,2315
