RDC,City_name,CDC_Shipping_Cost,Shipping_Cost,Reverse_Cost,Storage_Cost,Inbound_Handling_Cost,Outbound_Handling_Cost,Inventory,Area,Weight,Total_Cost,Shipping_Distance,Reverse_Shipping_Distance,Normal_Customer,Reverse_Customer,Ship_Avg_Price,Avg_Cost
760,中山市,1480377.2210581857,22580772.49890998,0.0,5957192.490929764,0.0,6493861.207621032,2641266.4873728375,19857.308303099213,36077006.70900573,36512203.41851896,17596.18,88955.40500000001,39.0,63.0,0.6259048230094225,1.0120629938349235
28,成都市/资阳市/眉山市,1988847.4502999827,11738511.853535995,0.0,1485036.098641994,0.0,1839567.4120689938,748212.442708026,5625.13673728028,10219818.95593885,17051962.814546965,119945.53000000003,0.0,89.0,0.0,1.148602720277605,1.668519069473132
572,湖州市,3296291.9511212152,31899672.71769942,0.0,8319887.896793916,0.0,10306143.171203129,4191846.684406969,31514.726881795137,57256350.951128505,53821995.73681768,20285.820000000003,0.0,49.0,0.0,0.5571377181358899,0.9400179166632145
22,天津市,1826558.7358864616,11296054.687258761,0.0,2432651.1822676463,0.0,3156907.978655289,1284018.0874140952,9653.377707411295,17538377.65919605,18712172.58406816,15694.340000000002,0.0,28.0,0.0,0.6440763739248028,1.0669272236965799
24,沈阳市/铁岭市/抚顺市,614912.2295457056,5252094.44013092,0.0,623653.3790031385,0.0,944217.7322894733,384044.3417781321,2887.2841620515674,5245654.068274851,7434877.780969238,21153.459999999995,0.0,37.0,0.0,1.0012277538267382,1.4173404658790931
711,鄂州市,1388671.5593815586,14934787.264709923,0.0,1355826.5325505019,0.0,2463282.644578679,1001897.8986519324,7532.369625280567,13684903.580992665,20142568.001220666,21214.650000000005,0.0,48.0,0.0,1.0913330281298623,1.4718823469971118
531,济南市,720697.8351655961,6533400.4536919985,0.0,1655724.366350405,0.0,1735465.84000487,705870.9166444383,5306.808866507708,9641476.888915943,10645288.49521287,13838.74,0.0,33.0,0.0,0.6776348197445706,1.104113883989177
