loss,hyperparameters,iteration,status
0.11723264941353402,"{'colsample_bytree': 0.8178373123883826, 'reg_alpha': 0.19526379020831852, 'reg_lambda': 0.10252066160741297, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",35,ok
0.11732689570450186,"{'colsample_bytree': 0.8202907391758936, 'reg_alpha': 0.6422290374791221, 'reg_lambda': 0.6463410668158638, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",47,ok
0.11738105828382173,"{'colsample_bytree': 0.8501346922022138, 'reg_alpha': 0.11582098787363491, 'reg_lambda': 0.2869073577408672, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",36,ok
0.11750932868596153,"{'colsample_bytree': 0.6049642536759952, 'reg_alpha': 0.8539646830770932, 'reg_lambda': 0.7079678559792204, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",22,ok
0.11788497765787923,"{'colsample_bytree': 0.6404621199514495, 'reg_alpha': 0.3506571499704377, 'reg_lambda': 0.5592892371473941, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",28,ok
0.11793273624168384,"{'colsample_bytree': 0.7136175139653701, 'reg_alpha': 0.7004329657602723, 'reg_lambda': 0.7688447439795383, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",24,ok
0.11799924052315128,"{'colsample_bytree': 0.7386571173000106, 'reg_alpha': 0.5698506489412118, 'reg_lambda': 0.29629676824296436, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",19,ok
0.11802659682303591,"{'colsample_bytree': 0.6268193071939925, 'reg_alpha': 0.7816146965603439, 'reg_lambda': 0.39187041801956995, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",42,ok
0.1180393288704148,"{'colsample_bytree': 0.9140026743006168, 'reg_alpha': 0.08731932275042242, 'reg_lambda': 0.4089410913042021, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",3,ok
0.11806577358375694,"{'colsample_bytree': 0.6008116316365295, 'reg_alpha': 0.4173881208660791, 'reg_lambda': 0.49339840198923224, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",27,ok
0.11824694215924783,"{'colsample_bytree': 0.90322774003436, 'reg_alpha': 0.30945776005680725, 'reg_lambda': 0.6079966177381365, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",16,ok
0.11833030232001976,"{'colsample_bytree': 0.9466541723128081, 'reg_alpha': 0.18661108208228783, 'reg_lambda': 0.8810184981395425, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",6,ok
0.11880150049924691,"{'colsample_bytree': 0.9432975390054873, 'reg_alpha': 0.2639776253448903, 'reg_lambda': 0.35760159278828746, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",50,ok
0.11901628046382477,"{'colsample_bytree': 0.8358167984006153, 'reg_alpha': 0.4526276903744042, 'reg_lambda': 0.8552604612342561, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",15,ok
0.11905134644043473,"{'colsample_bytree': 0.8751107826063464, 'reg_alpha': 0.13332737700271685, 'reg_lambda': 0.033091725625713914, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",31,ok
0.11907828160438935,"{'colsample_bytree': 0.6862725092963302, 'reg_alpha': 0.5856334618656266, 'reg_lambda': 0.11293249753737511, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",46,ok
0.1193691575830994,"{'colsample_bytree': 0.8518617067454239, 'reg_alpha': 0.9727840335183735, 'reg_lambda': 0.7213368122695976, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",4,ok
0.11949657584816697,"{'colsample_bytree': 0.6722284176680199, 'reg_alpha': 0.2646446970761065, 'reg_lambda': 0.08506739849707101, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",14,ok
0.1195186650489302,"{'colsample_bytree': 0.9958889073337588, 'reg_alpha': 0.9724580945981504, 'reg_lambda': 0.1990850656699723, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",10,ok
0.11957847647755256,"{'colsample_bytree': 0.7978426526528472, 'reg_alpha': 0.6965971672477548, 'reg_lambda': 0.9457947427376442, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",1,ok
0.11988416237002361,"{'colsample_bytree': 0.8546347579986294, 'reg_alpha': 0.8980390727864932, 'reg_lambda': 0.5075945589859729, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",49,ok
0.12002049676837782,"{'colsample_bytree': 0.6455984319398851, 'reg_alpha': 0.7315246329029989, 'reg_lambda': 0.8444249826382756, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",25,ok
0.12031464111894767,"{'colsample_bytree': 0.6696890964652714, 'reg_alpha': 0.24094236955520976, 'reg_lambda': 0.5981673410720352, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",11,ok
0.12032832136919029,"{'colsample_bytree': 0.9232920616861514, 'reg_alpha': 0.551029896192518, 'reg_lambda': 0.14793629900355365, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",7,ok
0.12033121801387422,"{'colsample_bytree': 0.9547423739673111, 'reg_alpha': 0.5384862477613953, 'reg_lambda': 0.4483890380907971, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",18,ok
0.12058053249559328,"{'colsample_bytree': 0.8008653901836881, 'reg_alpha': 0.05987097981649325, 'reg_lambda': 0.9480479286068124, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",2,ok
0.12061243096650451,"{'colsample_bytree': 0.9150439319162056, 'reg_alpha': 0.5160426146608502, 'reg_lambda': 0.3139395936748046, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",20,ok
0.12203207799892732,"{'colsample_bytree': 0.9768106856528092, 'reg_alpha': 0.46662190989847063, 'reg_lambda': 0.27052753793623735, 'metric': ['mape'], 'objective': 'regression', 'learning_rate': 0.08, 'max_depth': 7, 'n_estimators': 130, 'num_leaves': 100}",44,ok
