,column,importance
round4,shou_num_shift_7,134
round4,daily_delim_1,127
round4,shou_num_groupby_weekday_median,118
round4,shou_num_shift_5,112
round4,festival,109
round4,pai_num_shift_4,104
round4,zone_id,101
round4,shou_num_groupby_weekday_sum,101
round4,pai_num_shift_5,94
round4,pai_num_shift_3,93
round4,pai_num_shift_7,93
round4,shou_num_groupby_month_median,88
round4,shou_num_groupby_weekday_min,85
round4,shou_num_shift_6,83
round4,shou_num_groupby_month_max,81
round4,pai_num_shift_6,81
round4,shou_num_shift_4,77
round4,shou_num_groupby_month_min,59
round4,shou_num_groupby_weekday_std,59
round4,pai_num_groupby_month_std,50
round4,shou_num_groupby_weekday_max,48
round4,weekofyear,42
round4,pai_num_groupby_month_min,42
round4,weekday,41
round4,shou_num_groupby_month_std,38
round4,is_sale,36
round4,pai_num_groupby_weekday_min,35
round4,shou_num_groupby_month_sum,30
round4,pai_num_groupby_weekday_median,28
round4,pai_num_groupby_weekday_std,26
round4,pai_num_groupby_month_median,25
round4,pai_num_groupby_month_max,24
round4,pai_num_groupby_month_sum,24
round4,pai_num_groupby_weekday_sum,21
round4,pai_num_groupby_weekday_max,11
round4,aoi_num,10
round4,month,9
round4,aoi_area,8
round4,is_month_end,7
round4,aoi_type,1
round4,is_weekend,0
round4,quarter,0
round4,daily_delim_6,0
round4,is_month_start,0
round4,is_quarter_start,0
round4,is_quarter_end,0
round4,daily_delim_3,0
round4,daily_delim_4,0
round4,daily_delim_2,0
