,column,importance
round4,day,146
round4,festival,132
round4,pai_num_groupby_month_max,125
round4,pai_num_groupby_weekday_min,125
round4,pai_num_shift_5,112
round4,pai_num_groupby_weekday_sum,102
round4,daily_delim_5,92
round4,shou_num_shift_3,86
round4,pai_num_shift_3,85
round4,pai_num_groupby_month_median,83
round4,zone_id,79
round4,shou_num_shift_7,76
round4,is_sale,73
round4,pai_num_shift_7,73
round4,pai_num_groupby_month_std,68
round4,weekday,68
round4,pai_num_shift_4,67
round4,pai_num_groupby_month_min,65
round4,pai_num_groupby_month_sum,63
round4,pai_num_groupby_weekday_std,62
round4,weekofyear,61
round4,pai_num_shift_6,60
round4,shou_num_shift_4,53
round4,shou_num_shift_5,50
round4,shou_num_shift_6,44
round4,shou_num_groupby_weekday_median,33
round4,shou_num_groupby_month_std,31
round4,pai_num_groupby_weekday_max,31
round4,shou_num_groupby_month_max,22
round4,shou_num_groupby_weekday_min,22
round4,shou_num_groupby_month_min,19
round4,aoi_num,19
round4,shou_num_groupby_weekday_sum,18
round4,shou_num_groupby_month_median,16
round4,shou_num_groupby_weekday_std,14
round4,daily_delim_3,13
round4,month,13
round4,shou_num_groupby_weekday_max,12
round4,shou_num_groupby_month_sum,9
round4,aoi_area,7
round4,is_month_end,7
round4,aoi_type,4
round4,is_quarter_end,1
round4,is_weekend,1
round4,quarter,0
round4,is_month_start,0
round4,is_quarter_start,0
round4,daily_delim_6,0
round4,daily_delim_4,0
round4,daily_delim_2,0
