,column,importance
round0,dayofyear,284
round0,shou_num_shift_3,262
round0,day,242
round0,shou_num_shift_7,234
round0,shou_num_shift_5,234
round0,daily_delim_5,231
round0,shou_num_shift_4,219
round0,shou_num_groupby_weekday_sum,198
round0,daily_delim_1,192
round0,shou_num_shift_6,171
round0,shou_num_groupby_weekday_median,171
round0,pai_num_shift_4,170
round0,pai_num_shift_3,170
round0,pai_num_shift_5,164
round0,pai_num_shift_7,163
round0,shou_num_groupby_month_median,148
round0,shou_num_groupby_month_max,142
round0,shou_num_groupby_weekday_min,128
round0,festival,128
round0,pai_num_shift_6,123
round0,zone_id,120
round0,shou_num_groupby_month_min,109
round0,shou_num_groupby_weekday_std,108
round0,shou_num_groupby_weekday_max,102
round0,pai_num_groupby_month_std,88
round0,weekofyear,76
round0,shou_num_groupby_month_std,72
round0,shou_num_groupby_month_sum,62
round0,weekday,57
round0,pai_num_groupby_weekday_std,57
round0,pai_num_groupby_weekday_median,56
round0,is_sale,55
round0,pai_num_groupby_month_min,51
round0,pai_num_groupby_month_max,47
round0,pai_num_groupby_weekday_min,40
round0,pai_num_groupby_month_median,34
round0,aoi_area,32
round0,daily_delim_3,31
round0,pai_num_groupby_weekday_max,29
round0,pai_num_groupby_month_sum,27
round0,pai_num_groupby_weekday_sum,25
round0,month,23
round0,aoi_num,14
round0,is_month_end,9
round0,is_weekend,8
round0,aoi_type,8
round0,is_quarter_end,0
round0,is_quarter_start,0
round0,is_month_start,0
round0,quarter,0
round0,daily_delim_4,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,dayofyear,286
round1,day,256
round1,shou_num_shift_3,252
round1,daily_delim_5,247
round1,shou_num_shift_5,228
round1,shou_num_shift_7,224
round1,shou_num_shift_4,207
round1,pai_num_shift_4,198
round1,shou_num_groupby_weekday_median,192
round1,daily_delim_1,191
round1,shou_num_groupby_weekday_sum,187
round1,pai_num_shift_7,182
round1,shou_num_shift_6,180
round1,pai_num_shift_3,164
round1,pai_num_shift_6,159
round1,pai_num_shift_5,152
round1,shou_num_groupby_weekday_min,142
round1,shou_num_groupby_month_median,142
round1,shou_num_groupby_month_max,139
round1,festival,127
round1,zone_id,123
round1,shou_num_groupby_month_min,114
round1,shou_num_groupby_weekday_std,100
round1,weekofyear,88
round1,shou_num_groupby_weekday_max,87
round1,pai_num_groupby_month_std,80
round1,shou_num_groupby_month_std,78
round1,shou_num_groupby_month_sum,63
round1,pai_num_groupby_weekday_median,59
round1,weekday,59
round1,is_sale,53
round1,pai_num_groupby_weekday_min,51
round1,pai_num_groupby_weekday_std,45
round1,pai_num_groupby_month_max,40
round1,pai_num_groupby_month_min,39
round1,pai_num_groupby_weekday_max,35
round1,pai_num_groupby_weekday_sum,35
round1,daily_delim_3,34
round1,pai_num_groupby_month_sum,33
round1,aoi_num,30
round1,aoi_area,29
round1,pai_num_groupby_month_median,27
round1,month,19
round1,is_month_end,9
round1,aoi_type,9
round1,is_weekend,5
round1,daily_delim_4,0
round1,daily_delim_6,0
round1,is_quarter_end,0
round1,is_quarter_start,0
round1,is_month_start,0
round1,quarter,0
round1,daily_delim_2,0
round2,dayofyear,292
round2,daily_delim_5,259
round2,shou_num_shift_5,256
round2,day,255
round2,shou_num_shift_7,252
round2,shou_num_shift_3,232
round2,shou_num_shift_4,207
round2,shou_num_groupby_weekday_median,192
round2,shou_num_groupby_weekday_sum,189
round2,pai_num_shift_3,174
round2,shou_num_shift_6,165
round2,pai_num_shift_4,163
round2,pai_num_shift_7,160
round2,pai_num_shift_5,155
round2,daily_delim_1,152
round2,shou_num_groupby_month_max,144
round2,pai_num_shift_6,142
round2,zone_id,134
round2,shou_num_groupby_weekday_min,133
round2,festival,131
