,column,importance
round0,dayofyear,249
round0,pai_num_groupby_weekday_median,176
round0,daily_delim_1,162
round0,day,161
round0,festival,135
round0,pai_num_groupby_month_max,117
round0,pai_num_groupby_weekday_min,110
round0,daily_delim_5,90
round0,pai_num_groupby_weekday_sum,85
round0,zone_id,80
round0,is_sale,77
round0,pai_num_shift_7,73
round0,pai_num_groupby_month_median,71
round0,pai_num_shift_3,68
round0,pai_num_groupby_month_min,67
round0,weekday,65
round0,pai_num_shift_5,64
round0,pai_num_groupby_month_sum,62
round0,shou_num_shift_3,62
round0,pai_num_groupby_weekday_std,62
round0,weekofyear,61
round0,shou_num_shift_7,60
round0,pai_num_shift_6,57
round0,pai_num_shift_4,53
round0,shou_num_shift_6,52
round0,pai_num_groupby_month_std,48
round0,shou_num_shift_5,46
round0,shou_num_groupby_month_std,43
round0,shou_num_shift_4,42
round0,shou_num_groupby_weekday_median,41
round0,aoi_area,25
round0,shou_num_groupby_month_min,24
round0,pai_num_groupby_weekday_max,21
round0,shou_num_groupby_month_max,19
round0,aoi_num,17
round0,shou_num_groupby_weekday_std,17
round0,daily_delim_3,14
round0,shou_num_groupby_weekday_sum,14
round0,month,14
round0,shou_num_groupby_weekday_min,13
round0,shou_num_groupby_month_median,13
round0,shou_num_groupby_weekday_max,10
round0,is_month_end,7
round0,aoi_type,6
round0,shou_num_groupby_month_sum,4
round0,is_weekend,1
round0,quarter,0
round0,daily_delim_4,0
round0,is_month_start,0
round0,is_quarter_start,0
round0,is_quarter_end,0
round0,daily_delim_6,0
round0,daily_delim_2,0
round1,dayofyear,215
round1,pai_num_groupby_weekday_median,182
round1,daily_delim_1,169
round1,day,139
round1,festival,134
round1,pai_num_groupby_weekday_min,112
round1,pai_num_groupby_month_max,104
round1,daily_delim_5,96
round1,pai_num_groupby_month_median,94
round1,pai_num_groupby_weekday_sum,83
round1,is_sale,76
round1,shou_num_shift_3,75
round1,weekday,71
round1,pai_num_shift_7,70
round1,zone_id,67
round1,pai_num_shift_3,66
round1,pai_num_groupby_month_min,66
round1,weekofyear,65
round1,pai_num_groupby_month_std,63
round1,pai_num_shift_5,60
round1,shou_num_shift_5,59
round1,pai_num_shift_4,57
round1,pai_num_shift_6,55
round1,pai_num_groupby_month_sum,55
round1,pai_num_groupby_weekday_std,54
round1,shou_num_shift_7,52
round1,shou_num_shift_6,51
round1,shou_num_groupby_month_std,50
round1,shou_num_shift_4,44
round1,pai_num_groupby_weekday_max,38
round1,shou_num_groupby_weekday_median,27
round1,shou_num_groupby_weekday_min,25
round1,shou_num_groupby_month_median,20
round1,shou_num_groupby_weekday_std,19
round1,month,19
round1,aoi_num,17
round1,daily_delim_3,16
round1,shou_num_groupby_month_min,16
round1,shou_num_groupby_weekday_max,15
round1,shou_num_groupby_month_sum,15
round1,shou_num_groupby_month_max,15
round1,shou_num_groupby_weekday_sum,9
round1,aoi_area,8
round1,aoi_type,7
round1,is_month_end,7
round1,is_quarter_start,1
round1,is_weekend,1
round1,daily_delim_6,0
round1,quarter,0
round1,is_month_start,0
round1,daily_delim_4,0
round1,is_quarter_end,0
round1,daily_delim_2,0
round2,dayofyear,236
round2,pai_num_groupby_weekday_median,166
round2,daily_delim_1,153
round2,day,151
round2,festival,130
round2,pai_num_groupby_weekday_min,112
round2,pai_num_groupby_month_max,101
round2,daily_delim_5,93
round2,pai_num_groupby_weekday_sum,92
round2,shou_num_shift_3,81
round2,pai_num_shift_5,79
round2,pai_num_shift_3,78
round2,pai_num_groupby_month_median,77
round2,is_sale,74
round2,zone_id,72
round2,weekday,68
round2,pai_num_shift_7,66
round2,pai_num_groupby_month_min,63
round2,shou_num_shift_7,61
round2,pai_num_groupby_month_sum,60
round2,pai_num_groupby_weekday_std,59
round2,pai_num_groupby_month_std,58
round2,shou_num_shift_5,56
round2,pai_num_shift_4,50
round2,shou_num_shift_6,49
round2,weekofyear,48
round2,pai_num_shift_6,47
round2,shou_num_shift_4,47
round2,shou_num_groupby_month_std,37
round2,pai_num_groupby_weekday_max,33
round2,shou_num_groupby_weekday_median,27
round2,shou_num_groupby_weekday_std,25
round2,aoi_area,19
round2,shou_num_groupby_month_max,18
round2,shou_num_groupby_month_min,18
round2,month,17
round2,shou_num_groupby_weekday_min,16
round2,shou_num_groupby_month_median,16
round2,shou_num_groupby_month_sum,15
round2,aoi_num,14
round2,shou_num_groupby_weekday_max,13
round2,shou_num_groupby_weekday_sum,12
round2,is_month_end,10
round2,daily_delim_3,10
round2,aoi_type,3
round2,is_weekend,2
round2,quarter,0
round2,daily_delim_6,0
round2,is_month_start,0
round2,daily_delim_4,0
round2,is_quarter_start,0
round2,is_quarter_end,0
round2,daily_delim_2,0
round3,dayofyear,215
round3,pai_num_groupby_weekday_median,177
round3,daily_delim_1,159
round3,day,153
round3,festival,128
round3,pai_num_groupby_weekday_min,114
round3,pai_num_groupby_month_max,112
round3,daily_delim_5,98
round3,shou_num_shift_3,92
round3,pai_num_groupby_month_median,89
round3,pai_num_shift_3,82
round3,is_sale,78
round3,zone_id,76
round3,pai_num_shift_7,74
round3,weekday,73
round3,pai_num_groupby_weekday_sum,70
round3,pai_num_shift_5,69
round3,pai_num_groupby_month_min,68
round3,pai_num_groupby_weekday_std,65
round3,pai_num_shift_6,60
round3,shou_num_shift_7,59
round3,weekofyear,57
round3,pai_num_shift_4,54
round3,pai_num_groupby_month_sum,52
round3,shou_num_groupby_month_std,43
round3,shou_num_shift_6,41
round3,pai_num_groupby_month_std,41
round3,shou_num_shift_5,41
round3,shou_num_shift_4,40
round3,pai_num_groupby_weekday_max,34
round3,shou_num_groupby_month_min,25
round3,shou_num_groupby_weekday_median,24
round3,shou_num_groupby_weekday_min,19
round3,shou_num_groupby_month_max,19
round3,shou_num_groupby_weekday_std,17
round3,month,17
round3,aoi_area,14
round3,aoi_num,14
round3,shou_num_groupby_weekday_sum,11
round3,shou_num_groupby_month_median,10
round3,is_month_end,10
round3,shou_num_groupby_month_sum,10
round3,shou_num_groupby_weekday_max,9
round3,daily_delim_3,8
round3,aoi_type,6
round3,is_weekend,1
round3,is_month_start,0
round3,quarter,0
round3,daily_delim_6,0
round3,daily_delim_4,0
round3,is_quarter_end,0
round3,is_quarter_start,0
round3,daily_delim_2,0
round4,dayofyear,226
round4,day,141
round4,daily_delim_1,139
round4,pai_num_groupby_weekday_sum,135
round4,pai_num_groupby_weekday_median,135
round4,festival,134
round4,daily_delim_5,117
round4,pai_num_groupby_month_max,112
round4,pai_num_groupby_weekday_min,110
round4,shou_num_shift_3,84
round4,pai_num_groupby_month_median,82
round4,zone_id,78
round4,is_sale,76
round4,pai_num_shift_5,71
round4,pai_num_groupby_month_min,71
round4,pai_num_shift_3,71
round4,pai_num_shift_7,69
round4,weekofyear,65
round4,pai_num_groupby_month_std,64
round4,shou_num_shift_7,64
round4,weekday,60
round4,pai_num_groupby_month_sum,59
round4,pai_num_shift_6,56
round4,pai_num_shift_4,56
round4,shou_num_shift_5,47
round4,pai_num_groupby_weekday_std,46
round4,shou_num_shift_6,43
round4,shou_num_groupby_month_std,39
round4,pai_num_groupby_weekday_max,38
round4,shou_num_shift_4,35
round4,shou_num_groupby_weekday_median,32
round4,shou_num_groupby_weekday_std,24
round4,month,19
round4,shou_num_groupby_month_min,17
round4,shou_num_groupby_month_max,16
round4,shou_num_groupby_weekday_min,15
round4,daily_delim_3,15
round4,shou_num_groupby_month_sum,14
round4,aoi_num,11
round4,aoi_area,11
round4,shou_num_groupby_month_median,10
round4,is_month_end,9
round4,shou_num_groupby_weekday_max,7
round4,shou_num_groupby_weekday_sum,3
round4,aoi_type,2
round4,is_weekend,1
round4,is_month_start,0
round4,daily_delim_6,0
round4,quarter,0
round4,daily_delim_4,0
round4,is_quarter_end,0
round4,is_quarter_start,0
round4,daily_delim_2,0
