,column,importance
round4,shou_num_shift_7,244
round4,shou_num_shift_5,230
round4,shou_num_shift_4,193
round4,pai_num_shift_7,192
round4,shou_num_shift_6,192
round4,shou_num_groupby_weekday_sum,189
round4,pai_num_shift_3,178
round4,shou_num_groupby_weekday_median,176
round4,pai_num_shift_4,169
round4,daily_delim_1,163
round4,pai_num_shift_5,155
round4,zone_id,146
round4,shou_num_groupby_weekday_min,140
round4,shou_num_groupby_month_max,132
round4,festival,131
round4,shou_num_groupby_month_median,129
round4,pai_num_shift_6,124
round4,shou_num_groupby_month_min,120
round4,shou_num_groupby_weekday_std,120
round4,pai_num_groupby_month_std,97
round4,shou_num_groupby_weekday_max,93
round4,shou_num_groupby_month_std,78
round4,weekofyear,72
round4,shou_num_groupby_month_sum,65
round4,is_sale,62
round4,weekday,54
round4,pai_num_groupby_weekday_std,52
round4,pai_num_groupby_weekday_min,50
round4,pai_num_groupby_month_max,50
round4,pai_num_groupby_month_min,47
round4,pai_num_groupby_weekday_max,46
round4,pai_num_groupby_weekday_median,46
round4,pai_num_groupby_month_sum,44
round4,daily_delim_3,36
round4,pai_num_groupby_month_median,31
round4,pai_num_groupby_weekday_sum,30
round4,month,27
round4,aoi_num,27
round4,aoi_area,19
round4,aoi_type,12
round4,is_month_end,11
round4,is_weekend,6
round4,is_quarter_end,1
round4,daily_delim_4,0
round4,quarter,0
round4,is_month_start,0
round4,is_quarter_start,0
round4,daily_delim_6,0
round4,daily_delim_2,0
