loss,hyperparameters,iteration,status
0.07348638241222974,"{'colsample_bytree': 0.7604141873438997, 'learning_rate': 0.08812304769240709, 'max_depth': 16, 'n_estimators': 61, 'num_leaves': 141, 'reg_alpha': 0.24157127734432393, 'reg_lambda': 0.8347712816149327, 'metric': ['mape'], 'objective': 'regression'}",9,ok
0.07357792569139887,"{'colsample_bytree': 0.9395462221706274, 'learning_rate': 0.11164900620446443, 'max_depth': 6, 'n_estimators': 42, 'num_leaves': 193, 'reg_alpha': 0.636030054208709, 'reg_lambda': 0.7666896926102728, 'metric': ['mape'], 'objective': 'regression'}",44,ok
0.07361002020227823,"{'colsample_bytree': 0.9361926065760624, 'learning_rate': 0.04229957444855127, 'max_depth': 12, 'n_estimators': 108, 'num_leaves': 171, 'reg_alpha': 0.8924693242404141, 'reg_lambda': 0.9931724225803578, 'metric': ['mape'], 'objective': 'regression'}",5,ok
0.07376669401696516,"{'colsample_bytree': 0.9929150552671805, 'learning_rate': 0.12813246924213192, 'max_depth': 16, 'n_estimators': 27, 'num_leaves': 187, 'reg_alpha': 0.7120488240989198, 'reg_lambda': 0.8643617327476417, 'metric': ['mape'], 'objective': 'regression'}",24,ok
0.07377319042282048,"{'colsample_bytree': 0.6077080936566179, 'learning_rate': 0.08245501344014805, 'max_depth': 20, 'n_estimators': 49, 'num_leaves': 171, 'reg_alpha': 0.19306724091441874, 'reg_lambda': 0.945894828568149, 'metric': ['mape'], 'objective': 'regression'}",11,ok
0.07379896340347107,"{'colsample_bytree': 0.8498434630876157, 'learning_rate': 0.1376708635567752, 'max_depth': 12, 'n_estimators': 35, 'num_leaves': 24, 'reg_alpha': 0.2866845374172359, 'reg_lambda': 0.8107555262598672, 'metric': ['mape'], 'objective': 'regression'}",49,ok
0.0738007492394404,"{'colsample_bytree': 0.9029702247348437, 'learning_rate': 0.132778232359704, 'max_depth': 9, 'n_estimators': 36, 'num_leaves': 144, 'reg_alpha': 0.8489857800630164, 'reg_lambda': 0.9351586473845819, 'metric': ['mape'], 'objective': 'regression'}",43,ok
0.07381775048272332,"{'colsample_bytree': 0.8310041139362477, 'learning_rate': 0.15906595466349302, 'max_depth': 14, 'n_estimators': 30, 'num_leaves': 200, 'reg_alpha': 0.43310644821637523, 'reg_lambda': 0.7624144836411555, 'metric': ['mape'], 'objective': 'regression'}",22,ok
0.07384711612200136,"{'colsample_bytree': 0.8294261315572723, 'learning_rate': 0.1651010036079489, 'max_depth': 14, 'n_estimators': 25, 'num_leaves': 157, 'reg_alpha': 0.3821204156719819, 'reg_lambda': 0.6149000646773506, 'metric': ['mape'], 'objective': 'regression'}",23,ok
0.0741034503313819,"{'colsample_bytree': 0.7071368684016625, 'learning_rate': 0.09547677130258084, 'max_depth': 9, 'n_estimators': 43, 'num_leaves': 76, 'reg_alpha': 0.5605558092856531, 'reg_lambda': 0.44004229321497146, 'metric': ['mape'], 'objective': 'regression'}",13,ok
